,cp,num_centros_salud
752,06670,1
753,06678,1
754,06679,1
755,06680,1
756,06689,1
757,06690,1
758,06691,1
759,06692,2
760,06700,2
761,06710,1
762,06711,1
763,06712,1
764,06713,1
765,06714,1
766,06715,1
767,06716,1
768,06717,3
769,06720,1
770,06730,2
771,06731,1
772,06740,1
773,06750,1
774,06760,1
775,06770,1
776,06800,4
777,06810,1
778,06820,1
779,06830,1
780,06840,1
781,06850,1
782,06860,1
783,06870,1
784,06880,1
785,06890,1
786,06891,1
787,06892,1
788,06893,1
789,06894,2
790,06900,1
791,06906,1
792,06907,1
793,06908,1
794,06909,1
795,06910,1
796,06919,1
797,06920,1
798,06927,1
799,06928,1
800,06929,1
801,06930,1
802,06939,1
803,06940,1
804,06950,1
805,06960,1
806,06970,1
807,06980,1
808,07002,1
809,07003,1
810,07004,1
811,07006,1
812,07007,3
813,07008,2
814,07009,3
815,07010,3
816,07011,1
817,07012,1
818,07013,3
819,07014,1
820,07015,2
821,07100,1
822,07108,1
823,07109,1
824,07110,1
825,07120,1
826,07140,1
827,07141,5
828,07142,1
829,07143,1
830,07144,1
831,07150,1
832,07157,1
833,07159,1
834,07160,1
835,07170,1
836,07179,1
837,07180,3
838,07181,3
839,07184,1
840,07190,1
841,07191,1
842,07192,1
843,07193,1
844,07194,1
845,07195,1
846,07196,1
847,07198,1
848,07199,2
849,07200,1
850,07208,1
851,07210,1
852,07220,1
853,07230,1
854,07240,1
855,07250,1
856,07260,1
857,07300,2
858,07310,1
859,07311,1
860,07312,1
861,07313,1
862,07314,2
863,07315,2
864,07320,1
865,07330,1
866,07340,1
867,07350,1
868,07360,1
869,07369,1
870,07400,2
871,07420,1
872,07430,1
873,07440,1
874,07450,1
875,07458,1
876,07459,1
877,07460,1
878,07470,1
879,07500,1
880,07509,1
881,07510,1
882,07518,1
883,07519,1
884,07520,1
885,07529,1
886,07530,1
887,07540,1
888,07550,1
889,07559,1
890,07560,2
891,07570,1
892,07580,1
893,07590,1
894,07600,3
895,07609,1
896,07610,1
897,07620,1
898,07629,1
899,07630,1
900,07638,1
901,07639,1
902,07640,1
903,07650,1
904,07660,1
905,07669,2
906,07670,1
907,07680,1
908,07687,1
909,07689,1
910,07690,1
911,07691,1
912,07701,2
913,07710,1
914,07712,1
915,07720,1
916,07730,2
917,07740,1
918,07748,1
919,07749,1
920,07750,1
921,07760,1
922,07800,3
923,07810,1
924,07814,1
925,07815,1
926,07816,1
927,07817,1
928,07819,2
929,07820,2
930,07828,1
931,07830,1
932,07839,2
933,07840,1
934,07850,1
935,07860,1
936,08001,2
937,08002,2
938,08003,2
939,08004,1
940,08005,3
941,08010,1
942,08013,2
943,08014,1
944,08015,1
945,08016,2
946,08017,2
947,08018,1
948,08019,1
949,08020,2
950,08021,1
951,08023,1
952,08024,2
953,08025,2
954,08027,1
955,08028,3
956,08029,2
957,08030,3
958,08031,1
959,08032,1
960,08033,3
961,08035,2
962,08036,2
963,08037,2
964,08038,2
965,08041,2
966,08042,2
967,08100,2
968,08105,1
969,08110,3
970,08120,1
971,08130,2
972,08140,1
973,08148,1
974,08150,1
975,08160,1
976,08170,2
977,08173,2
978,08178,1
979,08180,1
980,08181,1
981,08182,1
982,08183,2
983,08184,1
984,08185,1
985,08186,2
986,08187,1
987,08188,1
988,08189,1
989,08191,3
990,08192,1
991,08196,2
992,08197,1
993,08198,1
994,08201,1
995,08202,1
996,08203,3
997,08204,2
998,08205,2
999,08206,2
1000,08207,2
1001,08208,1
1002,08210,2
1003,08211,1
1004,08212,1
1005,08213,1
1006,08214,1
1007,08221,2
1008,08223,1
1009,08224,1
1010,08226,1
1011,08227,1
1012,08228,1
1013,08230,1
1014,08231,1
1015,08232,2
1016,08233,1
1017,08240,3
1018,08243,2
1019,08250,1
1020,08251,2
1021,08253,2
1022,08254,1
1023,08255,1
1024,08256,2
1025,08259,3
1026,08260,1
1027,08261,3
1028,08262,1
1029,08269,1
1030,08270,1
1031,08271,1
1032,08272,1
1033,08273,1
1034,08274,1
1035,08275,2
1036,08278,2
1037,08279,1
1038,08280,1
1039,08281,5
1040,08282,2
1041,08290,4
1042,08291,3
1043,08292,1
1044,08293,1
1045,08294,1
1046,08295,1
1047,08296,1
1048,08297,1
1049,08299,1
1050,08301,1
1051,08302,1
1052,08303,3
1053,08304,2
1054,08310,2
1055,08317,1
1056,08319,3
1057,08320,2
1058,08328,1
1059,08329,1
1060,08330,1
1061,08338,3
1062,08339,1
1063,08340,1
1064,08348,1
1065,08349,2
1066,08350,1
1067,08358,1
1068,08359,1
1069,08360,1
1070,08370,1
1071,08380,1
1072,08389,1
1073,08390,1
1074,08391,1
1075,08392,1
1076,08393,1
1077,08394,2
1078,08395,1
1079,08396,1
1080,08397,2
1081,08398,1
1082,08401,2
1083,08410,1
1084,08415,1
1085,08420,1
1086,08430,3
1087,08440,1
1088,08445,1
1089,08450,1
1090,08458,1
1091,08459,1
1092,08460,2
1093,08470,2
1094,08471,1
1095,08474,1
1096,08480,1
1097,08495,1
1098,08499,1
1099,08500,2
1100,08503,1
1101,08504,1
1102,08505,1
1103,08506,1
1104,08507,1
1105,08508,1
1106,08510,1
1107,08511,1
1108,08512,1
1109,08513,1
1110,08514,1
1111,08515,1
1112,08516,1
1113,08518,2
1114,08519,3
1115,08520,2
1116,08530,1
1117,08540,1
1118,08550,1
1119,08551,1
1120,08552,1
1121,08553,1
1122,08554,1
1123,08560,1
1124,08569,2
1125,08570,1
1126,08571,2
1127,08572,1
1128,08573,1
1129,08580,1
1130,08584,1
1131,08587,1
1132,08589,3
1133,08590,1
1134,08591,1
1135,08592,1
1136,08600,1
1137,08610,1
1138,08611,1
1139,08613,1
1140,08619,1
1141,08620,2
1142,08629,1
1143,08630,3
1144,08635,1
1145,08640,1
1146,08650,1
1147,08660,1
1148,08670,1
1149,08680,1
1150,08690,2
1151,08691,1
1152,08692,1
1153,08693,1
1154,08694,1
1155,08695,1
1156,08696,1
1157,08698,5
1158,08699,5
1159,08700,2
1160,08710,2
1161,08711,2
1162,08712,1
1163,08717,1
1164,08718,1
1165,08719,3
1166,08720,2
1167,08730,2
1168,08731,1
1169,08732,1
1170,08733,1
1171,08734,2
1172,08735,1
1173,08736,1
1174,08737,1
1175,08738,1
1176,08739,3
1177,08740,2
1178,08750,1
1179,08754,1
1180,08755,1
1181,08756,1
1182,08757,1
1183,08758,1
1184,08759,1
1185,08760,3
1186,08769,1
1187,08770,1
1188,08773,1
1189,08775,1
1190,08776,1
1191,08777,1
1192,08779,1
1193,08780,1
1194,08781,1
1195,08783,1
1196,08784,1
1197,08785,1
1198,08786,1
1199,08787,2
1200,08788,1
1201,08789,1
1202,08790,1
1203,08791,2
1204,08792,2
1205,08793,1
1206,08794,1
1207,08795,1
1208,08796,1
1209,08797,1
1210,08798,1
1211,08799,1
1212,08800,3
1213,08810,2
1214,08811,1
1215,08812,1
1216,08820,3
1217,08830,4
1218,08840,3
1219,08849,1
1220,08850,2
1221,08859,1
1222,08860,2
1223,08870,1
1224,08880,1
1225,08901,1
1226,08902,3
1227,08903,1
1228,08904,1
1229,08905,2
1230,08906,2
1231,08907,2
1232,08911,2
1233,08912,1
1234,08913,1
1235,08914,2
1236,08915,2
1237,08917,2
1238,08918,1
1239,08921,3
1240,08923,2
1241,08924,1
1242,08930,2
1243,08940,6
1244,08950,2
1245,08960,1
1246,08970,2
1247,08980,2
1248,09001,2
1249,09002,1
1250,09003,1
1251,09006,7
1252,09007,3
1253,09100,1
1254,09107,4
1255,09108,8
1256,09109,5
1257,09110,1
1258,09117,4
1259,09118,1
1260,09119,6
1261,09120,2
1262,09123,6
1263,09124,15
1264,09125,9
1265,09126,3
1266,09127,4
1267,09128,7
1268,09129,2
1269,09130,2
1270,09131,9
1271,09133,12
1272,09135,5
1273,09136,4
1274,09140,6
1275,09141,6
1276,09142,4
1277,09143,4
1278,09144,3
1279,09145,4
1280,09146,5
1281,09150,9
1282,09159,1
1283,09191,3
1284,09192,5
1285,09193,3
1286,09194,5
1287,09195,6
1288,09196,1
1289,09197,4
1290,09198,8
1291,09199,14
1292,09200,3
1293,09210,1
1294,09211,5
1295,09212,2
1296,09214,1
1297,09215,3
1298,09216,1
1299,09219,10
1300,09220,1
1301,09226,5
1302,09227,5
1303,09228,6
1304,09230,10
1305,09239,10
1306,09240,1
1307,09244,4
1308,09245,4
1309,09246,11
1310,09248,5
1311,09249,8
1312,09250,1
1313,09251,1
1314,09252,1
1315,09253,1
1316,09257,1
1317,09258,12
1318,09259,8
1319,09260,1
1320,09267,1
1321,09268,3
1322,09270,2
1323,09271,1
1324,09272,1
1325,09280,1
1326,09290,2
1327,09292,10
1328,09293,1
1329,09294,1
1330,09300,1
1331,09310,3
1332,09311,2
1333,09312,1
1334,09313,1
1335,09314,5
1336,09315,2
1337,09316,2
1338,09317,3
1339,09318,3
1340,09319,1
1341,09320,3
1342,09338,1
1343,09339,5
1344,09340,1
1345,09341,2
1346,09342,3
1347,09343,1
1348,09344,2
1349,09345,7
1350,09346,2
1351,09347,5
1352,09348,7
1353,09349,5
1354,09350,4
1355,09351,1
1356,09352,1
1357,09353,1
1358,09354,1
1359,09370,3
1360,09390,5
1361,09391,1
1362,09400,3
1363,09410,3
1364,09430,1
1365,09440,1
1366,09441,1
1367,09442,1
1368,09443,3
1369,09450,3
1370,09451,5
1371,09453,3
1372,09454,4
1373,09460,1
1374,09461,1
1375,09462,5
1376,09463,1
1377,09471,4
1378,09490,4
1379,09491,4
1380,09493,2
1381,09500,2
1382,09510,1
1383,09511,2
1384,09512,1
1385,09514,1
1386,09515,1
1387,09530,1
1388,09540,1
1389,09549,2
1390,09550,1
1391,09551,3
1392,09555,1
1393,09557,1
1394,09558,1
1395,09559,5
1396,09560,1
1397,09566,2
1398,09568,4
1399,09569,1
1400,09570,1
1401,09571,3
1402,09572,3
1403,09574,1
1404,09580,1
1405,09585,3
1406,09587,1
1407,09588,1
1408,09589,2
1409,09591,9
1410,09592,6
1411,09593,13
1412,09600,1
1413,09610,7
1414,09611,2
1415,09612,4
1416,09613,6
1417,09614,7
1418,09615,3
1419,09616,1
1420,09617,1
1421,09619,1
1422,09620,4
1423,09640,7
1424,09641,1
1425,09642,1
1426,09645,1
1427,09646,1
1428,09647,1
1429,09649,2
1430,09650,1
1431,09652,1
1432,09653,1
1433,09654,1
1434,09660,3
1435,09670,1
1436,09679,1
1437,09680,1
1438,09690,1
1439,09691,2
1440,09692,1
1441,09693,1
1442,10001,2
1443,10004,2
1444,10005,2
1445,10100,1
1446,10109,2
1447,10110,1
1448,10120,1
1449,10129,1
1450,10130,1
1451,10131,1
1452,10132,1
1453,10133,1
1454,10134,2
1455,10135,1
1456,10136,1
1457,10137,2
1458,10140,1
1459,10160,1
1460,10161,1
1461,10162,1
1462,10163,1
1463,10164,1
1464,10170,1
1465,10180,1
1466,10181,1
1467,10182,1
1468,10183,1
1469,10184,1
1470,10185,2
1471,10186,1
1472,10187,1
1473,10189,4
1474,10190,1
1475,10191,1
1476,10192,1
1477,10193,1
1478,10194,1
1479,10195,1
1480,10198,1
1481,10199,1
1482,10200,1
1483,10210,1
1484,10230,1
1485,10240,1
1486,10250,1
1487,10251,1
1488,10252,1
1489,10260,1
1490,10261,2
1491,10262,1
1492,10263,1
1493,10270,1
1494,10271,1
1495,10280,1
1496,10290,1
1497,10291,1
1498,10292,1
1499,10300,1
1500,10310,1
1501,10317,1
1502,10318,3
1503,10319,1
1504,10320,1
1505,10328,1
1506,10329,3
1507,10330,1
1508,10331,2
1509,10332,1
1510,10333,1
1511,10334,1
1512,10335,1
1513,10340,1
1514,10341,1
1515,10350,1
1516,10359,2
1517,10360,1
1518,10370,1
1519,10371,1
1520,10372,1
1521,10373,3
1522,10374,1
1523,10380,1
1524,10390,1
1525,10391,1
1526,10392,2
1527,10393,1
1528,10394,3
1529,10400,1
1530,10410,1
1531,10411,1
1532,10412,1
1533,10413,1
1534,10414,1
1535,10420,1
1536,10430,1
1537,10440,1
1538,10450,1
1539,10459,1
1540,10460,1
1541,10470,1
1542,10480,1
1543,10490,1
1544,10491,1
1545,10492,1
1546,10493,1
1547,10500,1
1548,10510,1
1549,10511,1
1550,10512,1
1551,10513,1
1552,10514,2
1553,10515,3
1554,10516,3
1555,10520,1
1556,10521,1
1557,10528,1
1558,10529,1
1559,10530,1
1560,10540,1
1561,10550,1
1562,10560,1
1563,10570,1
1564,10580,1
1565,10592,1
1566,10600,3
1567,10610,1
1568,10611,1
1569,10612,1
1570,10613,1
1571,10614,1
1572,10615,1
1573,10616,2
1574,10617,2
1575,10620,1
1576,10623,2
1577,10624,2
1578,10625,3
1579,10626,1
1580,10627,3
1581,10628,6
1582,10629,4
1583,10630,3
1584,10638,6
1585,10639,2
1586,10640,1
1587,10649,3
1588,10650,1
1589,10660,2
1590,10661,1
1591,10662,1
1592,10663,1
1593,10664,1
1594,10665,2
1595,10666,2
1596,10667,1
1597,10670,1
1598,10671,2
1599,10672,1
1600,10680,1
1601,10690,2
1602,10691,1
1603,10692,1
1604,10693,1
1605,10694,1
1606,10696,2
1607,10697,1
1608,10700,1
1609,10710,1
1610,10711,1
1611,10720,1
1612,10728,1
1613,10729,1
1614,10730,1
1615,10739,1
1616,10740,1
1617,10748,1
1618,10749,1
1619,10750,1
1620,10759,1
1621,10800,1
1622,10810,1
1623,10811,4
1624,10812,1
1625,10813,1
1626,10814,1
1627,10815,1
1628,10816,1
1629,10817,1
1630,10818,2
1631,10820,1
1632,10828,1
1633,10829,2
1634,10830,1
1635,10839,1
1636,10840,1
1637,10848,1
1638,10849,2
1639,10850,1
1640,10857,1
1641,10858,1
1642,10859,1
1643,10860,1
1644,10864,1
1645,10865,1
1646,10866,1
1647,10867,1
1648,10868,1
1649,10869,1
1650,10870,1
1651,10879,1
1652,10880,1
1653,10881,1
1654,10882,1
1655,10883,1
1656,10890,1
1657,10891,1
1658,10892,1
1659,10893,1
1660,10894,1
1661,10895,1
1662,10896,1
1663,10900,1
1664,10910,1
1665,10930,1
1666,10940,1
1667,10950,1
1668,10960,1
1669,10970,1
1670,10980,1
1671,10990,1
1672,10991,1
1673,11002,1
1674,11003,1
1675,11006,1
1676,11009,1
1677,11010,1
1678,11011,1
1679,11012,1
1680,11100,3
1681,11130,3
1682,11140,2
1683,11150,2
1684,11158,1
1685,11159,1
1686,11160,2
1687,11170,1
1688,11178,1
1689,11179,2
1690,11180,1
1691,11190,1
1692,11202,1
1693,11203,1
1694,11205,2
1695,11206,1
1696,11207,4
1697,11300,3
1698,11311,1
1699,11312,2
1700,11313,1
1701,11314,1
1702,11320,1
1703,11330,1
1704,11340,1
1705,11350,1
1706,11351,1
1707,11360,2
1708,11368,1
1709,11369,2
1710,11370,2
1711,11379,2
1712,11380,1
1713,11390,1
1714,11391,2
1715,11392,1
1716,11393,1
1717,11400,1
1718,11401,1
1719,11403,1
1720,11404,1
1721,11405,1
1722,11406,4
1723,11407,1
1724,11408,3
1725,11500,6
1726,11510,2
1727,11518,1
1728,11519,1
1729,11520,1
1730,11540,4
1731,11549,1
1732,11550,2
1733,11560,1
1734,11579,1
1735,11580,1
1736,11590,1
1737,11591,1
1738,11592,2
1739,11593,2
1740,11594,2
1741,11595,2
1742,11596,1
1743,11600,1
1744,11610,1
1745,11611,1
1746,11612,1
1747,11620,1
1748,11630,3
1749,11639,1
1750,11640,1
1751,11648,1
1752,11649,1
1753,11650,1
1754,11659,1
1755,11660,1
1756,11670,1
1757,11679,1
1758,11680,1
1759,11687,1
1760,11688,1
1761,11689,1
1762,11690,1
1763,11691,1
1764,11692,1
1765,11693,1
1766,12001,1
1767,12003,1
1768,12004,3
1769,12005,3
1770,12006,7
1771,12100,2
1772,12110,1
1773,12118,1
1774,12119,1
1775,12120,1
1776,12121,1
1777,12122,1
1778,12123,3
1779,12124,1
1780,12125,1
1781,12127,2
1782,12130,1
1783,12132,1
1784,12134,2
1785,12135,2
1786,12140,1
1787,12150,1
1788,12159,1
1789,12160,2
1790,12161,1
1791,12162,1
1792,12163,2
1793,12164,1
1794,12165,1
1795,12170,1
1796,12179,1
1797,12180,1
1798,12181,1
1799,12182,1
1800,12183,1
1801,12184,2
1802,12185,1
1803,12186,1
1804,12190,1
1805,12191,1
1806,12192,1
1807,12194,1
1808,12200,2
1809,12210,1
1810,12221,1
1811,12222,3
1812,12223,1
1813,12224,2
1814,12225,2
1815,12230,5
1816,12231,1
1817,12232,3
1818,12300,1
1819,12310,1
1820,12311,3
1821,12312,4
1822,12314,1
1823,12315,1
1824,12317,1
1825,12318,2
1826,12319,1
1827,12320,1
1828,12330,1
1829,12340,1
1830,12350,1
1831,12360,1
1832,12400,2
1833,12410,1
1834,12412,1
1835,12413,2
1836,12414,2
1837,12415,2
1838,12420,1
1839,12428,4
1840,12429,2
1841,12430,1
1842,12431,1
1843,12440,1
1844,12447,1
1845,12448,1
1846,12449,3
1847,12450,2
1848,12460,2
1849,12469,1
1850,12470,1
1851,12480,1
1852,12489,1
1853,12490,1
1854,12499,1
1855,12500,1
1856,12510,1
1857,12511,1
1858,12513,1
1859,12520,1
1860,12526,1
1861,12527,1
1862,12528,1
1863,12529,2
1864,12530,4
1865,12539,1
1866,12540,3
1867,12549,1
1868,12550,3
1869,12560,5
