localidad poblacion latitud longitud provincia ccaa
Torrente 82208 39.26 -0.28 Valencia Comunidad_Valenciana
Torrevieja 83337 37.59 -0.4 Alicante Comunidad_Valenciana
Utrera 50728 37.11 -5.46 Sevilla Andalucía
Valdemoro 75983 40.18 -3.65 Madrid Comunidad_de_Madrid
Valencia 794288 39.28 -0.22 Valencia Comunidad_Valenciana
Valladolid 298412 41.39 -4.44 Valladolid Castilla_y_León
Vélez-Málaga 81643 36.47 -4.05 Málaga Andalucía
Vigo 295364 42.15 -8.43 Pontevedra Galicia
Viladecans 66611 41.31 2.03 Barcelona Cataluña
Villanueva_y_Geltrú 67086 41.22 1.72 Barcelona Cataluña
Villarreal 50893 39.56 -0.06 Castellón Comunidad_Valenciana
Vitoria 251774 42.51 -2.41 Álava País_Vasco
Zamora 61406 41.3 -5.45 Zamora Castilla_y_León
Zaragoza 674997 41.39 -0.52 Zaragoza Aragón
