,comunidad,provincia,población,latitud,longitud,altitud,distanica_km,cuidad_mas_cercana
187,andalucia,cordoba,montilla,37.58963,-4.638313,385.7791,16.25549420934463,Córdoba
188,andalucia,cordoba,montoro,38.02617,-4.381874,201.329,55.730058568563,Córdoba
189,andalucia,cordoba,monturque,37.47332,-4.581713,376.9995,11.701448168774302,Córdoba
190,andalucia,cordoba,moriles,37.43526,-4.608766999999999,379.1501,16.157595807814936,Córdoba
191,andalucia,cordoba,nueva_carteya,37.58566,-4.467291,444.7657,6.195658946393605,Córdoba
192,andalucia,cordoba,obejo,38.13433,-4.8005059999999995,692.8661,73.2221294178746,Córdoba
193,andalucia,cordoba,palenciana,37.2492,-4.583651000000001,396.5208,32.808543853876074,Córdoba
194,andalucia,cordoba,palma_del_rio,37.70163,-5.283767,60.91506999999999,58.972795096564,Alcalá_de_Guadaíra
195,andalucia,cordoba,pedro_abad,37.967079999999996,-4.457226,163.2774,48.62931475441144,Córdoba
196,andalucia,cordoba,pedroche,38.42873,-4.763438,623.1253,103.22289909571293,Córdoba
197,andalucia,cordoba,penarroya_pueblonuevo,38.30304,-5.272851,541.6902,85.33173146360575,Mataró
198,andalucia,cordoba,posadas,37.80041,-5.107037999999999,88.41434,63.6457747604142,Córdoba
199,andalucia,cordoba,pozoblanco,38.37742,-4.848376,652.3784,99.92935156645764,Córdoba
200,andalucia,cordoba,priego_de_cordoba,37.4389,-4.194839,657.6609,26.3156341874267,Córdoba
201,andalucia,cordoba,puente_genil,37.39051,-4.770465,219.0715,30.732545780401157,Córdoba
202,andalucia,cordoba,rambla_,37.60816,-4.741319,331.6505,25.451108726007995,Córdoba
203,andalucia,cordoba,rute,37.32587,-4.371301,632.5386,24.321531129780844,Córdoba
204,andalucia,cordoba,san_sebastian_de_los_ballesteros,37.65493,-4.824157,306.4553,34.167078775915854,Córdoba
205,andalucia,cordoba,santa_eufemia,38.59544,-4.9027650000000005,547.0313,112.92162484211313,Mataró
206,andalucia,cordoba,santaella,37.56627,-4.8450940000000005,238.2158,33.323738165264906,Córdoba
207,andalucia,cordoba,torrecampo,38.4751,-4.679456,576.4257,99.10087443311843,Ciudad_Real
208,andalucia,cordoba,valenzuela,37.775079999999996,-4.219841000000001,341.0233,35.04906963317568,Córdoba
209,andalucia,cordoba,valsequillo,38.40498,-5.35168,578.0466,75.60917153388701,Mataró
210,andalucia,cordoba,victoria_,37.88327,-4.784959,122.8182,48.08553167423021,Córdoba
211,andalucia,cordoba,villa_del_rio,37.98227,-4.290878,164.0046,52.71444045901614,Córdoba
