;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más
Hombres;;;;;;;;;;;;;;;;;;;;;;
    50250-Talamantes;30;1;0;1;0;1;0;2;0;2;0;8;4;4;1;3;0;2;1;0;0;0
    50251-Tarazona;5,256;208;259;301;304;282;267;306;341;418;416;434;381;305;240;281;199;174;98;36;5;1
    50252-Tauste;3,451;127;140;183;180;183;175;204;224;266;260;304;279;275;165;163;109;95;77;36;6;0
    50253-Terrer;240;5;3;5;4;10;12;11;19;13;24;27;24;13;17;16;16;11;6;3;1;0
    50254-Tierga;101;2;1;1;5;3;0;3;3;8;10;12;15;6;7;6;4;9;4;2;0;0
    50255-Tobed;112;1;3;2;1;3;2;6;5;11;8;6;11;6;10;5;10;12;5;3;2;0
    50256-Torralba de los Frailes;43;0;0;0;0;0;2;4;3;2;1;4;4;4;4;4;4;4;2;1;0;0
    50257-Torralba de Ribota;98;0;0;4;0;5;4;3;6;7;7;8;14;7;2;9;9;5;4;4;0;0
    50258-Torralbilla;34;0;0;0;1;2;0;2;1;2;3;4;2;0;4;3;5;2;2;1;0;0
    50259-Torrehermosa;33;0;0;0;0;0;0;0;0;3;3;1;5;1;1;1;4;6;3;5;0;0
    50260-Torrelapaja;21;0;0;0;0;0;0;1;0;1;2;2;2;1;2;1;5;3;0;1;0;0
    50261-Torrellas;128;3;8;6;4;3;1;3;6;14;11;10;10;9;5;5;7;10;8;2;3;0
    50262-Torres de Berrellén;739;25;46;41;30;31;26;39;58;68;73;57;49;51;49;39;24;17;10;4;2;0
    50263-Torrijo de la Cañada;116;3;0;0;2;3;5;2;5;7;7;11;11;11;15;6;8;10;8;1;1;0
    50264-Tosos;104;1;0;1;5;3;2;5;6;7;7;14;11;8;11;5;3;4;8;2;1;0
    50265-Trasmoz;51;0;3;2;0;3;0;3;0;5;7;6;1;8;3;3;3;2;2;0;0;0
    50266-Trasobares;76;0;0;0;1;2;2;4;2;7;6;5;4;3;4;6;12;7;9;2;0;0
    50267-Uncastillo;301;1;5;5;9;8;6;24;17;17;21;29;37;25;22;16;15;16;19;4;5;0
    50268-Undués de Lerda;28;1;2;0;2;2;1;1;2;0;3;2;2;2;2;1;2;1;1;0;1;0
    50269-Urrea de Jalón;234;12;10;11;8;3;9;15;16;11;32;23;17;16;14;10;10;7;6;3;1;0
    50270-Urriés;21;1;0;0;0;0;0;2;1;2;0;1;0;0;0;4;3;2;4;1;0;0
    50271-Used;145;2;2;4;4;7;4;6;6;19;15;10;12;11;11;13;8;7;3;1;0;0
    50272-Utebo;9,287;438;677;744;570;424;430;501;696;1,022;978;737;592;436;366;274;182;117;71;27;5;0
    50274-Val de San Martín;39;0;0;0;1;1;0;3;1;3;4;3;4;4;5;2;3;2;3;0;0;0
    50273-Valdehorna;18;0;0;0;0;2;1;0;0;2;0;2;1;1;1;1;0;3;0;3;1;0
    50275-Valmadrid;71;0;2;2;4;0;3;4;4;4;2;9;3;6;3;4;7;6;6;1;1;0
    50276-Valpalmas;68;1;0;0;0;4;3;3;1;7;8;7;10;8;4;3;4;2;2;1;0;0
    50277-Valtorres;27;1;2;0;0;1;0;2;0;4;3;4;0;0;2;2;1;2;0;2;1;0
    50278-Velilla de Ebro;116;2;7;6;7;3;4;6;6;10;8;9;9;13;7;7;2;3;6;1;0;0
    50279-Velilla de Jiloca;42;1;0;1;1;2;2;1;2;2;4;5;4;1;6;0;3;4;0;3;0;0
    50280-Vera de Moncayo;174;3;6;3;6;7;5;12;9;4;12;17;17;17;15;10;11;13;4;3;0;0
    50281-Vierlas;40;1;0;2;3;4;3;1;1;0;4;3;7;0;2;2;3;3;0;1;0;0
    50283-Villadoz;51;2;1;2;0;2;2;4;2;3;4;9;2;2;2;1;5;5;3;0;0;0
    50284-Villafeliche;90;1;2;1;5;5;4;1;4;5;9;10;8;7;3;4;8;7;4;2;0;0
    50285-Villafranca de Ebro;416;21;17;19;23;21;16;22;28;29;36;35;37;37;20;20;9;12;9;5;0;0
    50286-Villalba de Perejil;48;0;0;0;1;1;1;4;2;6;4;3;5;5;4;7;2;1;2;0;0;0
    50287-Villalengua;172;0;9;4;4;10;7;12;10;8;12;19;15;13;12;7;6;14;6;1;3;0
    50903-Villamayor de Gállego;1,361;42;44;62;83;77;69;79;85;97;104;123;129;98;75;64;47;40;34;9;0;0
    50288-Villanueva de Gállego;2,368;94;120;179;166;123;126;134;156;174;246;213;173;154;100;69;55;31;37;15;3;0
    50290-Villanueva de Huerva;229;2;3;6;10;9;14;9;11;14;15;30;37;9;13;12;13;7;10;5;0;0
    50289-Villanueva de Jiloca;27;0;0;0;1;0;0;4;1;1;2;4;2;2;2;2;2;1;2;0;1;0
    50291-Villar de los Navarros;60;0;3;2;1;2;2;2;4;3;3;1;4;13;3;3;2;8;1;2;1;0
    50292-Villarreal de Huerva;152;10;8;4;7;10;14;16;13;9;15;10;4;9;5;2;5;8;3;0;0;0
    50293-Villarroya de la Sierra;234;2;5;7;8;12;9;12;11;10;21;13;17;21;24;16;21;12;9;3;1;0
    50294-Villarroya del Campo;40;0;2;0;0;0;1;1;6;1;0;4;5;5;1;3;3;2;4;2;0;0
    50282-Vilueña, La;35;0;0;0;0;0;1;4;5;2;3;3;2;3;4;4;0;3;1;0;0;0
    50295-Vistabella;28;0;0;0;0;0;1;0;1;0;1;1;5;6;2;6;1;4;0;0;0;0
    50296-Zaida, La;219;4;5;8;10;10;10;10;12;19;10;19;19;24;16;16;8;10;5;4;0;0
    50297-Zaragoza;322,626;15,063;16,605;17,318;16,520;16,230;17,066;19,013;23,189;28,143;26,686;24,812;22,727;19,858;16,848;15,469;11,089;8,030;5,521;1,977;434;28
    50298-Zuera;4,442;237;242;231;218;255;274;375;381;446;342;323;279;233;178;144;116;75;67;23;3;0
    51001-Ceuta;42,912;2,698;3,119;3,079;2,701;2,685;2,901;2,964;3,319;3,503;3,251;3,179;2,853;2,255;1,584;1,142;787;525;261;79;22;5
    52001-Melilla;43,894;3,481;3,570;3,100;3,001;3,126;3,013;2,936;3,250;3,234;2,988;3,021;2,872;2,370;1,493;968;684;454;231;87;11;4
Mujeres;;;;;;;;;;;;;;;;;;;;;;
    Total;23,983,780;990,510;1,143,524;1,211,340;1,127,123;1,127,478;1,270,624;1,430,659;1,735,199;1,976,554;1,889,955;1,827,223;1,662,733;1,445,421;1,257,000;1,172,414;903,869;807,780;623,001;290,192;78,329;12,852
    01051-Agurain/Salvatierra;2,536;161;179;130;124;105;104;152;205;211;181;200;178;154;112;94;63;64;62;45;8;4
    01001-Alegría-Dulantzi;1,375;64;84;121;75;65;52;59;111;143;166;132;74;54;54;43;36;15;18;7;2;0
    01002-Amurrio;5,250;277;281;211;198;189;207;317;387;388;353;408;416;405;339;263;205;170;133;83;18;2
    01049-Añana;61;0;4;2;0;2;3;3;2;4;3;5;5;3;3;5;4;3;5;5;0;0
    01003-Aramaio;703;32;33;41;45;28;23;35;37;64;38;56;66;52;34;34;27;25;19;10;4;0
    01006-Armiñón;108;4;5;7;4;2;1;6;10;11;18;12;4;6;6;3;3;1;3;2;0;0
    01037-Arraia-Maeztu;323;18;12;20;3;10;7;22;24;30;34;21;23;17;18;21;12;6;18;6;0;1
    01008-Arratzua-Ubarrundia;451;10;23;24;28;28;16;15;17;34;34;45;50;35;28;22;10;13;11;3;4;1
    01004-Artziniega;915;43;64;42;43;30;25;50;74;89;70;69;69;57;45;32;25;28;32;18;9;1
    01009-Asparrena;788;25;45;42;43;41;25;40;35;53;62;68;86;46;43;33;23;37;23;13;5;0
    01010-Ayala/Aiara;1,474;68;87;111;63;51;50;67;97;161;155;118;114;62;55;58;40;46;41;24;6;0
    01011-Baños de Ebro/Mañueta;128;5;4;4;6;6;4;6;5;6;11;14;9;9;11;7;8;5;7;1;0;0
    01013-Barrundia;392;14;21;17;34;13;14;16;24;30;37;41;33;20;20;20;14;9;10;3;1;1
    01014-Berantevilla;210;6;11;10;11;5;5;10;11;20;16;18;9;7;20;15;20;9;6;0;1;0
    01016-Bernedo;195;3;3;7;6;6;6;9;10;13;19;12;21;9;16;19;8;9;9;8;2;0
    01017-Campezo/Kanpezu;494;23;25;26;18;21;15;29;28;39;28;45;39;35;23;27;23;23;14;10;2;1
    01021-Elburgo/Burgelu;279;14;16;16;17;8;12;16;13;26;27;24;38;15;16;7;2;5;3;4;0;0
    01022-Elciego;503;22;34;24;21;18;23;19;35;34;38;40;32;27;35;31;19;28;15;4;4;0
    01023-Elvillar/Bilar;171;8;6;11;8;7;4;6;12;14;9;14;15;11;11;8;7;6;8;5;1;0
    01047-Erriberabeitia;626;21;39;43;37;28;21;32;43;62;69;62;38;35;20;18;14;18;15;7;3;1
    01046-Erriberagoitia/Ribera Alta;332;6;16;22;15;16;9;16;14;34;39;39;23;18;15;11;11;16;7;4;1;0
    01056-Harana/Valle de Arana;97;1;1;3;1;3;4;2;2;2;3;7;17;4;7;10;5;7;9;6;2;1
    01901-Iruña Oka/Iruña de Oca;1,642;80;141;114;80;67;62;95;146;191;160;145;103;71;57;40;26;27;24;10;1;2
    01027-Iruraiz-Gauna;236;9;6;9;16;9;8;11;13;25;24;19;29;17;10;11;5;6;6;2;1;0
    01019-Kripan;86;1;2;6;3;7;2;3;2;8;6;10;8;5;7;3;5;3;4;1;0;0
    01020-Kuartango;156;10;5;2;2;2;2;9;12;6;10;19;17;20;7;6;6;8;6;6;1;0
    01028-Labastida/Bastida;701;35;42;45;40;33;33;42;45;50;51;56;57;38;40;33;19;24;11;3;2;2
    01030-Lagrán;70;2;3;0;1;2;2;2;4;4;4;6;6;6;13;5;2;4;2;2;0;0
    01031-Laguardia;727;27;24;32;30;27;40;45;39;44;66;59;71;47;50;26;29;28;29;10;4;0
    01032-Lanciego/Lantziego;324;23;25;17;11;11;19;20;21;16;21;21;19;21;15;17;12;17;12;3;3;0
    01902-Lantarón;381;10;10;18;11;13;18;18;16;25;32;35;36;31;14;20;23;23;17;8;3;0
    01033-Lapuebla de Labarca;426;24;20;17;19;21;16;16;36;35;26;38;29;31;26;15;18;21;11;4;2;1
    01036-Laudio/Llodio;9,234;350;352;393;331;329;383;480;581;682;706;712;678;675;612;562;521;446;296;117;25;3
    01058-Legutio;890;38;61;52;32;32;46;46;65;99;81;70;62;47;48;45;30;17;11;6;2;0
    01034-Leza;103;4;7;4;3;6;5;4;5;8;8;6;4;9;6;6;5;3;8;1;1;0
    01039-Moreda de Álava/Moreda Araba;113;2;3;2;3;8;7;8;1;6;7;10;13;11;4;3;4;8;8;5;0;0
    01041-Navaridas;88;4;3;5;6;3;5;5;6;5;7;5;11;5;3;2;5;4;1;3;0;0
    01042-Okondo;577;31;29;45;15;19;30;27;45;53;65;54;31;27;25;28;18;18;14;1;2;0
    01043-Oyón-Oion;1,678;104;118;122;91;75;74;90;127;133;134;120;109;75;76;56;58;55;34;24;3;0
    01044-Peñacerrada-Urizaharra;109;6;3;2;5;5;3;8;6;7;8;9;21;6;1;6;4;5;3;1;0;0
    01052-Samaniego;158;8;2;5;10;4;7;12;3;8;6;19;10;11;5;4;8;12;16;6;2;0
    01053-San Millán/Donemiliaga;322;7;21;21;9;12;11;9;13;21;23;34;35;29;19;13;11;12;11;8;3;0
    01054-Urkabustaiz;655;35;51;41;33;26;29;35;63;52;69;57;43;28;29;13;10;15;19;4;3;0
    01055-Valdegovía/Gaubea;443;8;15;25;14;16;13;16;25;28;28;39;50;34;30;26;18;26;13;13;6;0
    01057-Villabuena de Álava/Eskuernaga;147;7;5;5;5;6;9;9;8;8;5;11;12;11;13;12;7;6;3;3;2;0
    01059-Vitoria-Gasteiz;129,063;5,889;6,227;5,886;5,535;5,264;6,046;7,428;9,495;10,655;10,042;9,596;9,116;8,384;7,483;7,054;5,082;4,211;3,406;1,711;472;81
    01060-Yécora/Iekora;128;3;3;6;9;7;4;5;4;5;12;10;5;18;10;6;5;7;4;3;2;0
    01061-Zalduondo;80;5;2;4;7;2;2;2;6;7;13;6;7;5;3;2;2;3;2;0;0;0
    01062-Zambrana;187;9;10;8;3;4;10;12;14;11;13;18;20;14;6;3;7;7;10;4;4;0
    01018-Zigoitia;803;31;39;37;44;28;22;30;45;69;86;60;76;70;57;38;21;20;17;10;2;1
    01063-Zuia;1,112;26;47;74;71;58;48;34;49;78;106;117;119;61;50;47;39;33;30;17;8;0
    02001-Abengibre;411;3;11;10;12;23;17;19;23;23;24;37;35;35;27;37;28;18;15;10;4;0
    02002-Alatoz;228;5;4;9;6;8;13;12;7;6;12;13;15;17;14;26;15;13;16;13;3;1
    02003-Albacete;88,642;3,886;4,516;4,606;4,563;4,446;4,832;5,401;6,404;7,453;7,266;7,200;6,532;5,198;4,169;3,646;2,906;2,502;1,958;909;214;35
    02004-Albatana;336;5;7;8;22;15;20;12;12;17;21;32;24;22;23;21;17;25;24;7;2;0
    02005-Alborea;321;6;9;15;15;16;14;13;15;16;24;30;22;19;19;13;17;21;27;8;1;1
    02006-Alcadozo;291;9;10;10;15;12;17;9;12;27;19;19;15;15;27;19;21;19;12;2;2;0
    02007-Alcalá del Júcar;552;16;20;8;13;25;31;27;34;31;22;39;51;39;31;45;24;44;33;13;6;0
    02008-Alcaraz;648;22;23;37;21;34;37;39;32;56;39;49;59;43;28;31;33;22;26;12;4;1
    02009-Almansa;12,252;465;584;585;604;603;656;661;835;964;931;1,027;997;798;578;559;446;436;327;164;29;3
    02010-Alpera;1,091;44;60;44;57;54;69;62;71;68;81;72;76;54;49;76;56;46;33;13;5;1
    02011-Ayna;289;0;6;3;5;10;14;5;17;7;15;13;24;19;26;37;26;28;25;6;1;2
    02012-Balazote;1,145;62;46;46;73;79;85;68;91;68;102;89;64;48;44;46;52;45;23;10;3;1
    02014-Ballestero, El;198;5;8;7;2;8;9;11;12;18;8;13;16;14;19;12;9;15;6;4;2;0
    02013-Balsa de Ves;67;2;0;3;3;2;0;3;4;4;3;3;3;6;3;6;6;8;4;3;1;0
    02015-Barrax;894;34;40;49;44;63;51;49;57;66;78;75;53;39;36;31;46;42;28;12;1;0
    02016-Bienservida;277;6;5;9;8;17;16;14;8;17;17;26;24;20;13;19;14;22;16;5;1;0
    02017-Bogarra;399;8;12;12;7;13;13;11;17;18;22;22;27;23;28;34;43;37;36;11;5;0
    02018-Bonete;509;15;19;16;22;29;36;24;25;38;31;33;43;35;32;19;24;32;24;11;1;0
    02019-Bonillo, El;1,364;32;43;56;87;85;72;56;69;85;118;116;103;57;68;78;76;77;52;26;7;1
    02020-Carcelén;230;3;4;10;12;6;8;6;9;13;18;9;23;6;17;19;29;17;13;5;3;0
    02021-Casas de Juan Núñez;621;22;20;40;29;46;39;33;43;34;46;51;35;27;38;27;26;37;16;6;5;1
    02022-Casas de Lázaro;158;1;1;3;4;9;5;8;6;9;6;15;17;14;10;11;19;8;11;1;0;0
    02023-Casas de Ves;271;5;3;7;12;9;9;8;12;19;10;20;25;23;17;19;18;20;18;14;2;1
    02024-Casas-Ibáñez;2,244;89;103;111;111;128;127;119;160;154;165;186;165;130;124;103;76;83;69;28;12;1
    02025-Caudete;4,890;239;249;265;255;262;281;263;316;389;345;371;380;279;241;213;180;171;122;51;16;2
    02026-Cenizate;584;26;35;31;38;38;27;37;30;36;36;43;44;23;24;26;27;26;24;9;4;0
    02029-Chinchilla de Monte-Aragón;2,010;91;128;103;89;96;105;143;156;176;169;140;151;93;74;71;66;77;51;27;4;0
    02027-Corral-Rubio;150;6;3;2;6;8;5;10;5;6;11;12;12;11;11;10;13;11;5;3;0;0
    02028-Cotillas;59;0;0;0;2;2;2;1;1;3;7;10;4;5;3;4;3;5;3;2;2;0
    02030-Elche de la Sierra;1,798;66;71;90;88;102;104;103;99;118;127;154;128;93;103;80;76;93;69;26;7;1
    02031-Férez;326;4;14;17;18;17;9;14;15;14;31;28;20;25;17;23;14;21;17;6;1;1
    02032-Fuensanta;129;5;2;5;1;5;4;5;7;7;9;7;12;8;10;12;7;16;6;1;0;0
    02033-Fuente-Álamo;1,182;49;52;62;64;70;72;58;51;95;94;86;85;58;55;67;58;51;32;18;4;1
    02034-Fuentealbilla;878;33;27;45;36;55;57;54;43;60;74;58;68;41;44;45;35;51;32;17;2;1
    02035-Gineta, La;1,208;64;75;73;46;51;67;73;93;97;97;95;70;70;53;62;39;33;26;20;4;0
    02036-Golosalvo;49;1;0;1;1;0;4;2;0;1;4;3;3;4;6;2;4;4;8;1;0;0
    02037-Hellín;15,144;608;761;793;922;894;897;905;1,046;1,186;1,219;1,196;1,068;795;660;614;532;475;389;148;32;4
    02038-Herrera, La;159;4;2;5;5;14;11;5;8;6;16;20;9;8;10;12;5;13;4;2;0;0
    02039-Higueruela;556;18;18;23;26;23;21;29;33;36;40;46;37;28;42;32;43;27;26;8;0;0
    02040-Hoya-Gonzalo;302;4;11;8;15;13;20;10;20;17;26;22;20;21;20;27;17;13;11;5;2;0
    02041-Jorquera;162;2;6;9;2;7;3;3;6;9;12;12;5;14;10;15;13;18;11;3;2;0
    02042-Letur;470;11;12;9;26;32;27;18;16;20;29;42;42;36;26;19;28;37;25;11;4;0
    02043-Lezuza;653;11;13;24;30;35;35;36;24;33;45;64;55;34;31;38;48;47;37;12;0;1
    02044-Liétor;565;9;7;27;25;25;30;18;24;31;40;50;41;38;33;42;28;44;37;9;6;1
    02045-Madrigueras;2,272;110;98;122;95;108;127;150;142;155;170;155;145;143;111;138;112;92;70;21;7;1
    02046-Mahora;677;31;22;37;29;36;35;36;45;61;46;49;44;37;35;33;35;32;23;8;3;0
    02047-Masegoso;51;0;1;0;0;0;2;2;2;1;1;7;4;6;5;5;5;5;2;2;1;0
    02048-Minaya;727;14;30;28;26;30;34;34;46;52;45;48;54;56;47;55;36;33;36;20;2;1
    02049-Molinicos;411;7;10;9;6;14;22;18;23;15;27;25;35;26;28;39;22;37;30;16;2;0
    02050-Montalvos;45;0;1;2;1;0;3;0;3;1;3;2;6;5;2;3;2;5;4;1;1;0
    02051-Montealegre del Castillo;1,008;35;41;29;56;52;51;55;48;75;73;66;69;56;58;57;53;49;43;34;7;1
    02052-Motilleja;264;11;8;12;8;13;13;14;20;16;15;22;18;13;19;11;16;20;9;5;1;0
    02053-Munera;1,672;51;61;70;93;88;93;62;101;109;143;134;125;92;76;83;87;99;61;37;5;2
    02054-Navas de Jorquera;251;13;10;9;7;17;15;18;9;15;12;10;19;17;12;18;17;15;15;2;1;0
    02055-Nerpio;531;8;19;15;27;21;29;23;25;29;39;50;36;27;27;40;33;40;29;11;2;1
    02056-Ontur;978;23;37;41;42;58;61;43;56;69;60;65;66;54;62;65;65;46;42;17;5;1
    02057-Ossa de Montiel;1,153;41;42;46;49;55;64;71;49;85;78;85;90;73;70;67;57;57;48;21;5;0
    02058-Paterna del Madera;158;2;4;6;9;5;5;5;7;11;10;8;13;10;11;11;7;11;15;5;3;0
    02060-Peñas de San Pedro;582;14;12;15;16;24;34;29;38;40;45;47;47;40;36;36;45;31;21;9;2;1
    02059-Peñascosa;150;3;2;0;5;5;10;10;6;7;6;14;9;21;8;8;7;10;12;6;1;0
    02061-Pétrola;342;6;9;13;13;18;17;14;14;18;18;23;29;21;29;20;21;24;19;13;1;2
    02062-Povedilla;189;7;5;4;7;10;5;2;6;7;15;15;24;14;16;9;16;13;7;6;1;0
    02901-Pozo Cañada;1,379;55;75;73;84;75;82;77;79;113;100;104;82;80;52;76;53;67;39;13;0;0
    02063-Pozohondo;759;20;22;24;34;31;42;39;47;47;42;67;50;46;52;40;49;52;33;18;4;0
    02064-Pozo-Lorente;201;0;0;2;11;11;10;11;10;8;9;15;16;11;15;20;14;17;14;3;3;1
    02065-Pozuelo;226;1;4;14;6;12;12;8;6;11;20;27;19;17;13;14;14;12;12;2;2;0
    02066-Recueja, La;109;0;1;1;8;7;6;4;3;7;7;6;4;6;7;10;13;7;6;6;0;0
    02067-Riópar;645;19;18;30;29;32;28;44;32;42;48;60;49;46;43;35;24;27;24;12;3;0
    02068-Robledo;167;9;3;4;5;11;13;9;9;10;12;14;18;10;5;4;12;11;5;2;1;0
    02069-Roda, La;7,658;354;398;391;399;427;451;446;532;575;607;609;525;414;358;319;271;255;202;94;30;1
    02070-Salobre;222;6;5;9;13;13;8;10;12;8;15;17;9;8;7;17;23;19;17;5;1;0
    02071-San Pedro;615;15;23;23;39;30;37;30;36;37;62;47;47;33;27;25;30;37;25;9;3;0
    02072-Socovos;867;33;21;28;31;42;42;49;51;54;60;68;62;53;60;54;39;54;37;23;4;2
    02073-Tarazona de la Mancha;3,038;106;160;137;178;173;162;176;193;219;218;254;200;155;130;153;142;140;95;34;9;4
    02074-Tobarra;3,753;152;180;187;205;201;209;224;221;255;277;293;238;205;170;160;188;170;137;60;18;3
    02075-Valdeganga;990;40;38;37;45;46;49;52;61;73;64;71;68;63;51;70;47;43;42;28;2;0
    02076-Vianos;172;3;4;4;10;7;14;6;4;9;15;12;12;12;11;11;7;11;11;7;2;0
    02077-Villa de Ves;24;0;0;1;1;0;1;2;3;2;0;4;1;2;2;0;1;2;2;0;0;0
    02078-Villalgordo del Júcar;518;18;17;11;28;26;31;26;21;29;30;46;41;28;29;23;33;37;30;10;3;1
    02079-Villamalea;1,993;74;89;90;105;102;126;123;115;170;161;143;145;102;79;86;82;86;73;35;7;0
    02080-Villapalacios;279;10;2;7;14;11;11;15;9;12;20;29;20;23;10;13;16;26;19;10;2;0
    02081-Villarrobledo;12,728;566;640;719;715;724;740;813;892;972;926;962;863;683;537;506;470;466;358;140;33;3
    02082-Villatoya;44;2;0;1;2;1;3;5;0;3;3;6;4;0;5;1;0;3;3;2;0;0
    02083-Villavaliente;88;0;2;1;1;3;5;4;2;3;2;3;9;10;9;6;8;8;10;1;1;0
    02084-Villaverde de Guadalimar;165;6;9;2;3;7;7;11;8;1;9;18;15;9;8;13;10;13;12;3;0;1
    02085-Viveros;161;2;7;3;3;8;6;7;5;5;10;18;15;14;11;10;10;11;12;4;0;0
    02086-Yeste;1,282;23;28;40;45;44;59;48;46;80;76;86;106;81;88;93;86;96;105;37;13;2
    03002-Agost;2,401;105;115;131;120;119;137;120;162;193;176;203;166;144;125;109;87;87;66;32;4;0
    03003-Agres;259;12;8;13;8;12;13;11;12;18;14;27;18;11;24;17;13;13;11;2;2;0
    03004-Aigües;458;21;15;18;20;26;28;21;26;34;35;46;39;32;22;29;25;6;12;2;1;0
    03005-Albatera;6,019;343;374;369;342;336;390;388;474;483;437;434;365;306;258;217;175;159;118;39;10;2
    03006-Alcalalí;638;8;18;17;23;21;19;17;14;22;36;46;62;59;66;95;53;33;21;5;3;0
    03007-Alcocer de Planes;113;2;3;4;4;8;9;2;6;1;12;11;11;7;9;10;8;5;1;0;0;0
    03008-Alcoleja;80;2;4;0;0;2;2;5;4;2;4;4;7;8;9;5;7;5;3;4;2;1
    03009-Alcoy/Alcoi;30,128;1,093;1,363;1,537;1,483;1,461;1,462;1,599;1,900;2,266;2,260;2,304;2,220;2,013;1,671;1,568;1,340;1,194;908;382;95;9
    03010-Alfafara;208;4;8;11;13;9;9;11;4;11;24;16;16;16;10;16;6;13;9;1;1;0
    03011-Alfàs del Pi, l';10,295;293;378;528;471;454;466;548;655;728;855;845;712;655;643;774;571;368;225;99;21;6
    03012-Algorfa;1,474;56;52;74;53;52;52;77;75;91;98;99;106;118;159;154;89;40;14;11;2;2
    03013-Algueña;668;31;22;27;28;33;37;33;44;51;41;50;42;39;47;40;30;34;23;13;3;0
    03014-Alicante/Alacant;172,696;6,808;8,131;8,948;8,182;8,299;9,030;10,138;12,360;14,172;13,769;13,369;12,137;10,636;9,508;8,764;6,545;5,474;3,981;1,848;479;118
    03015-Almoradí;10,293;597;619;670;572;528;590;669;756;929;751;736;613;522;425;426;349;265;174;84;14;4
    03016-Almudaina;56;2;1;1;3;1;2;2;2;4;2;3;3;3;6;9;4;5;0;3;0;0
    03017-Alqueria d'Asnar, l';255;10;9;19;19;15;14;15;18;27;19;23;14;10;11;7;5;6;7;5;2;0
    03018-Altea;11,379;425;460;560;551;527;543;649;786;965;905;946;898;744;659;589;475;344;227;102;21;3
    03019-Aspe;10,279;503;523;627;541;507;528;666;802;899;863;708;662;543;504;459;330;287;201;99;24;3
    03001-Atzúbia, l';307;6;5;10;4;11;10;13;13;12;20;26;35;24;28;39;19;13;10;6;3;0
    03020-Balones;58;1;1;3;2;3;1;2;2;4;2;7;4;4;3;7;5;5;0;2;0;0
    03021-Banyeres de Mariola;3,530;137;162;204;186;181;180;181;242;238;279;297;212;216;190;196;145;141;96;41;4;2
    03022-Benasau;77;1;2;2;1;2;3;1;3;6;1;6;8;5;10;8;6;5;5;1;1;0
    03023-Beneixama;833;25;35;32;37;36;51;46;45;58;63;54;66;58;36;49;34;53;32;19;4;0
    03024-Benejúzar;2,703;119;140;145;134;143;154;168;195;180;203;197;186;146;120;140;115;100;85;23;9;1
    03025-Benferri;941;60;55;55;42;37;36;73;90;74;68;58;59;54;46;58;26;31;10;8;1;0
    03026-Beniarbeig;1,031;30;44;55;41;39;54;56;87;89;77;74;64;74;59;60;55;29;30;11;3;0
    03027-Beniardá;126;3;5;11;3;8;6;5;9;10;7;10;10;11;6;7;5;3;4;2;1;0
    03028-Beniarrés;547;8;10;15;31;28;22;22;22;19;47;50;46;40;25;32;43;32;29;21;5;0
    03030-Benidoleig;550;14;19;19;26;16;25;17;26;39;38;40;43;46;43;55;43;22;12;5;2;0
    03031-Benidorm;34,471;1,298;1,399;1,474;1,436;1,644;2,008;2,350;2,563;2,653;2,519;2,592;2,607;2,543;2,087;1,825;1,295;1,069;733;286;73;17
    03032-Benifallim;45;0;0;1;1;1;0;2;3;1;3;6;7;3;6;2;2;2;3;1;1;0
    03033-Benifato;67;1;4;2;4;4;0;2;0;5;8;9;7;2;5;6;1;3;1;3;0;0
    03029-Benigembla;237;6;5;10;5;7;5;6;6;14;17;21;17;22;17;26;25;15;8;5;0;0
    03034-Benijófar;1,707;47;72;88;66;68;63;71;82;112;98;142;138;143;156;162;94;61;30;11;2;1
    03035-Benilloba;347;4;4;11;12;12;19;16;15;16;20;29;29;36;20;29;29;18;18;7;2;1
    03036-Benillup;50;0;3;2;1;5;4;3;3;6;1;3;6;5;2;1;3;0;2;0;0;0
    03037-Benimantell;241;6;13;6;6;11;14;12;14;18;21;20;16;21;19;12;11;7;10;4;0;0
    03038-Benimarfull;202;5;4;8;2;6;9;9;13;12;11;15;18;17;15;19;11;16;8;2;2;0
    03039-Benimassot;47;0;1;0;2;1;4;1;0;0;2;7;6;5;8;2;4;1;1;1;0;1
    03040-Benimeli;231;7;17;7;9;6;6;10;4;17;12;21;19;12;8;25;13;17;12;4;5;0
    03041-Benissa;5,590;172;238;272;267;251;251;292;341;464;420;448;407;353;334;377;283;215;125;58;20;2
    03042-Benitachell/Poble Nou de Benitatxell, el;2,170;64;84;84;71;74;79;90;122;134;152;152;164;148;203;236;173;86;40;9;3;2
    03043-Biar;1,872;74;113;103;103;80;87;83;132;156;147;133;145;112;90;102;79;59;45;19;10;0
    03044-Bigastro;3,351;166;189;204;188;189;215;205;281;280;259;230;199;167;142;142;113;93;62;24;2;1
    03045-Bolulla;200;2;9;5;11;11;10;7;8;11;19;14;15;18;16;19;10;2;7;6;0;0
    03046-Busot;1,462;38;67;85;78;70;57;52;80;109;119;134;125;103;90;128;73;23;22;8;1;0
    03049-Callosa de Segura;9,324;553;645;531;514;481;550;619;694;743;663;624;545;463;405;401;324;296;188;69;14;2
    03048-Callosa d'en Sarrià;3,611;166;157;208;195;184;180;215;263;282;300;248;253;209;179;175;114;114;102;50;11;6
    03047-Calp;11,245;442;474;484;517;488;605;662;790;919;807;820;766;730;742;707;594;368;198;102;25;5
