,bus_based_companies_count,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,prov_total_millones_vehiculos_km,prov_porcentaje_carreteras_ccaa_y_estado,perc_calidad_cobertura_fija_movil,ccaa_accessibility_mean,tiene_cercanias,tiene_feve,tiene_ave,nume_estaciones_tren
93,,la_llacuna,la_llacuna,barcelona,barcelona,cataluna,cataluna,la_llacuna/barcelona,Barcelona,La Llacuna,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
94,,la_llagosta,la_llagosta,barcelona,barcelona,cataluna,cataluna,la_llagosta/barcelona,Barcelona,La Llagosta,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
95,,llinars_del_valles,llinars_del_valles,barcelona,barcelona,cataluna,cataluna,llinars_del_valles/barcelona,Barcelona,Llinars del Vallès,8838.35,0.8445015189486725,78.57,37.20251666,1.0,0.0,0.0,1.0
96,,llica_d'amunt,llica_d'amunt,barcelona,barcelona,cataluna,cataluna,llica_d'amunt/barcelona,Barcelona,Lliçà d'Amunt,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
97,,llica_de_vall,llica_de_vall,barcelona,barcelona,cataluna,cataluna,llica_de_vall/barcelona,Barcelona,Lliçà de Vall,8838.35,0.8445015189486725,95.0,37.20251666,1.0,0.0,1.0,100.0
98,,lluca,lluca,barcelona,barcelona,cataluna,cataluna,lluca/barcelona,Barcelona,Lluçà,8838.35,0.8445015189486725,47.5,37.20251666,1.0,0.0,1.0,100.0
99,,malgrat_de_mar,malgrat_de_mar,barcelona,barcelona,cataluna,cataluna,malgrat_de_mar/barcelona,Barcelona,Malgrat de Mar,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
100,,manlleu,manlleu,barcelona,barcelona,cataluna,cataluna,manlleu/barcelona,Barcelona,Manlleu,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
101,,manresa,manresa,barcelona,barcelona,cataluna,cataluna,manresa/barcelona,Barcelona,Manresa,8838.35,0.8445015189486725,71.03,37.20251666,1.0,0.0,0.0,1.0
102,,martorell,martorell,barcelona,barcelona,cataluna,cataluna,martorell/barcelona,Barcelona,Martorell,8838.35,0.8445015189486725,80.0,37.20251666,1.0,0.0,0.0,1.0
103,,martorelles,martorelles,barcelona,barcelona,cataluna,cataluna,martorelles/barcelona,Barcelona,Martorelles,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
104,,les_masies_de_roda,les_masies_de_roda,barcelona,barcelona,cataluna,cataluna,les_masies_de_roda/barcelona,Barcelona,Les Masies de Roda,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
105,,les_masies_de_voltrega,les_masies_de_voltrega,barcelona,barcelona,cataluna,cataluna,les_masies_de_voltrega/barcelona,Barcelona,Les Masies de Voltregà,8838.35,0.8445015189486725,67.29,37.20251666,,,,
