,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,muni_agrup,total_comercios,b_e_industria,f_construccion,comercio_transporte_y_hosteleria,j_informacion_y_comunicaciones,k_actividades_financieras_y_de_seguros,l_actividades_inmobiliarias,actividades_profesionales_y_tecnicas,educacion_sanidad_y_servicios_sociales,otros_servicios_personales,total_servicios,prov_pib
46,ayna,ayna,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ayna/albacete,Albacete,Ayna,ayna/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
47,balazote,balazote,albacete,albacete,castilla_la_mancha,castilla_la_mancha,balazote/albacete,Albacete,Balazote,balazote/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
48,balsa_de_ves,balsa_de_ves,albacete,albacete,castilla_la_mancha,castilla_la_mancha,balsa_de_ves/albacete,Albacete,Balsa de Ves,balsa_de_ves/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
49,el_ballestero,el_ballestero,albacete,albacete,castilla_la_mancha,castilla_la_mancha,el_ballestero/albacete,Albacete,El Ballestero,el_ballestero/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
50,barrax,barrax,albacete,albacete,castilla_la_mancha,castilla_la_mancha,barrax/albacete,Albacete,Barrax,barrax/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
51,bienservida,bienservida,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bienservida/albacete,Albacete,Bienservida,bienservida/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
52,bogarra,bogarra,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bogarra/albacete,Albacete,Bogarra,bogarra/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
53,bonete,bonete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bonete/albacete,Albacete,Bonete,bonete/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
54,el_bonillo,el_bonillo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,el_bonillo/albacete,Albacete,El Bonillo,el_bonillo/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
55,carcelen,carcelen,albacete,albacete,castilla_la_mancha,castilla_la_mancha,carcelen/albacete,Albacete,Carcelén,carcelen/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
56,casas_de_juan_nunez,casas_de_juan_nunez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_juan_nunez/albacete,Albacete,Casas de Juan Núñez,casas_de_juan_nunez/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
57,casas_de_lazaro,casas_de_lazaro,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_lazaro/albacete,Albacete,Casas de Lázaro,casas_de_lazaro/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
58,casas_de_ves,casas_de_ves,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_ves/albacete,Albacete,Casas de Ves,casas_de_ves/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
59,casas_ibanez,casas_ibanez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_ibanez/albacete,Albacete,Casas-Ibáñez,casas_ibanez/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
