M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER,MODELO
19144,66815984.870000,12206.684560,31106155.380000,5285.943190,35709829.490000,6920.741370,71291.860000,43.586920,6113792.120000,1401.570320,19961722.540000,3574.108560,23647640.060000,3951.589500,12845842.790000,2230.302790,4085738.410000,960.526470,89957.090000,45.000000,1,4,1,2,2016,190
6190,116479686.220000,5662.515730,111381101.270000,5228.855120,5098584.950000,433.660610,60715.680000,8.314290,5685043.630000,460.512460,27328691.790000,1489.813800,36024784.120000,1748.527760,32773447.780000,1328.311970,14200635.660000,611.735870,406367.560000,15.299580,1,4,2,1,2009,190
5555,110002391.100000,5131.349020,105292863.850000,4771.042980,4709527.250000,360.306040,12933.010000,5.629460,3935760.060000,306.821820,24835563.600000,1331.811950,34017525.050000,1603.991720,31899386.560000,1262.927310,15030073.820000,607.665930,271149.000000,12.500830,1,4,2,1,2010,190
5949,109258335.050000,4941.885090,105315786.160000,4629.458510,3942548.890000,312.426580,13756.650000,3.156360,3342866.230000,262.012450,22970242.290000,1209.958880,34415993.770000,1556.144560,33852108.370000,1301.543600,14398954.480000,594.690940,264413.260000,14.378300,1,4,2,1,2011,190
5020,104991347.760000,4574.480280,101499945.370000,4311.711240,3491402.390000,262.769040,1069.820000,2.005570,2550089.810000,200.577270,20852177.400000,1068.665630,32664801.850000,1421.261810,32877343.510000,1246.170860,15828578.940000,623.570710,217286.430000,12.228430,1,4,2,1,2012,190
4997,103613738.220000,4489.429260,100299097.820000,4240.180790,3314640.400000,249.248470,6417.760000,4.000000,2306995.960000,191.142560,19435048.470000,1011.441190,32561103.770000,1427.623670,32229621.330000,1243.541800,16828746.570000,601.686190,245804.360000,9.993850,1,4,2,1,2013,190
4826,100293148.250000,4296.606440,97430067.100000,4061.353050,2863081.150000,235.253390,29548.210000,3.831470,1981696.450000,201.804720,17828660.100000,916.151410,31751868.340000,1367.779590,30529216.630000,1165.743030,17914171.240000,627.010510,257987.280000,14.285710,1,4,2,1,2014,190
4471,99161014.350000,3976.193220,96519273.350000,3769.039400,2641741.000000,207.153820,10628.100000,2.804450,1952391.420000,161.280320,17512256.660000,846.206280,30730276.600000,1240.548810,30476643.220000,1114.037820,18206163.960000,598.015540,272654.390000,13.300000,1,4,2,1,2015,190
4477,103230238.650000,4082.323910,100375317.620000,3895.487890,2854921.030000,186.836020,NULL,NULL,2154593.350000,155.318610,18557131.670000,863.916660,31039155.530000,1231.534800,32081978.120000,1191.670720,19036896.570000,621.778180,360079.350000,17.104940,1,4,2,1,2016,190
1359,19967014.620000,1214.487820,19290721.540000,1136.253320,676293.080000,78.234500,NULL,NULL,973336.850000,101.216470,6578149.270000,416.260940,6625579.420000,394.541320,4101252.100000,218.766830,1616508.320000,80.702260,NULL,NULL,1,4,2,2,2009,190
