,municipio_limpio,provincia,superficie_urbana,uds_almacen,uds_comercial,uds_cultural,uds_hosteleria,uds_industrial,uds_deportivo,uds_oficinas,uds_religioso,uds_espectaculos
136,campello,alicante,"6,364,352","15,997","1,328",16,40,135,84,31,8,0
137,campo_de_mirra,alicante,"166,483",10,5,3,3,72,3,1,2,0
138,canada,alicante,"441,816",69,20,2,2,211,5,1,3,0
139,castalla,alicante,"3,258,314","1,797",341,7,23,872,27,25,3,2
140,castell_de_castells,alicante,"98,008",28,3,1,4,121,2,2,1,0
141,catral,alicante,"1,162,511",738,217,7,15,401,11,24,5,1
142,cocentaina,alicante,"3,252,906","1,902",427,16,16,923,25,39,10,0
143,confrides,alicante,"66,229",5,4,1,3,55,3,0,2,0
144,cox,alicante,"2,477,918",385,113,4,5,598,19,19,2,4
145,crevillent,alicante,"5,614,960","5,475","1,066",26,22,857,42,127,12,1
146,quatretondeta,alicante,"34,040",3,0,1,0,41,1,0,1,0
147,daya_nueva,alicante,"512,401",197,28,2,5,153,9,4,3,0
148,daya_vieja,alicante,"94,303",7,13,0,2,1,2,2,1,0
149,denia,alicante,"15,280,426","11,984","1,649",24,219,"1,012",67,285,15,7
150,dolores,alicante,"3,049,160",723,190,6,10,229,5,34,1,1
151,elche,alicante,"31,289,235","59,670","11,443",209,133,"3,434",243,"1,250",46,7
152,elda,alicante,"5,175,948","9,863","2,988",38,121,791,38,445,25,2
153,facheca,alicante,"41,553",11,1,1,1,14,1,0,1,0
154,famorca,alicante,"11,287",0,0,0,1,13,1,1,1,0
155,finestrat,alicante,"6,169,444","1,967",313,7,24,359,36,49,1,2
156,formentera_del_segura,alicante,"576,284","1,189",154,3,10,130,9,7,1,1
157,gata_de_gorgos,alicante,"2,216,126",375,128,6,8,408,9,8,2,2
158,gaianes,alicante,"261,468",9,0,2,2,80,7,0,2,0
159,gorga,alicante,"81,114",3,2,0,0,77,1,1,1,0
160,granja_de_rocamora,alicante,"1,594,132",32,8,2,4,147,6,10,3,0
161,castell_de_guadalest,alicante,"46,019",11,29,8,4,32,1,0,2,0
162,guardamar_del_segura,alicante,"6,099,724","11,406","1,108",13,148,374,22,60,3,7
163,fondo_de_les_neus,alicante,"973,347",165,22,1,3,446,19,5,4,0
164,hondon_de_los_frailes,alicante,"278,333",122,9,3,4,28,34,0,1,0
165,ibi,alicante,"4,048,347","6,528",681,22,24,"1,191",64,37,6,6
166,jacarilla,alicante,"2,175,464",614,55,3,4,71,6,1,3,0
167,xalo,alicante,"1,828,637",455,139,4,9,225,7,8,2,0
168,javea,alicante,"23,245,866","7,299","1,378",22,59,733,133,105,8,4
