,ine_code,postal_code,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province_es,cities_es/province,cities_es/ccaa_es,cities_es/ccaa,cities/province_es,province_es/ccaa_es,province_es/ccaa,province/ccaa_es,province/ccaa
95,01057,01307,banos_de_ebro,manueta,alava,araba,pais_vasco,pais_vasco,banos_de_ebro,banos_de_ebro,banos_de_ebro,banos_de_ebro,manueta,alava,alava,araba,araba
96,01058,01510,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,alava,alava,araba,araba
97,01058,01170,legutio,legutio,alava,araba,pais_vasco,pais_vasco,legutio,legutio,legutio,legutio,legutio,alava,alava,araba,araba
98,01058,01171,legutio,legutio,alava,araba,pais_vasco,pais_vasco,legutio,legutio,legutio,legutio,legutio,alava,alava,araba,araba
99,01059,01003,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
100,01059,01520,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,alava,alava,araba,araba
101,01059,01510,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,alava,alava,araba,araba
102,01059,01196,zigoitia,zigoitia,alava,araba,pais_vasco,pais_vasco,zigoitia,zigoitia,zigoitia,zigoitia,zigoitia,alava,alava,araba,araba
103,01059,01195,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
104,01059,01013,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
105,01059,01194,bernedo,bernedo,alava,araba,pais_vasco,pais_vasco,bernedo,bernedo,bernedo,bernedo,bernedo,alava,alava,araba,araba
106,01059,01193,alegria_dulantzi,alegria_dulantzi,alava,araba,pais_vasco,pais_vasco,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alava,alava,araba,araba
107,01059,01192,elburgo,burgelu,alava,araba,pais_vasco,pais_vasco,elburgo,elburgo,elburgo,elburgo,burgelu,alava,alava,araba,araba
108,01059,01191,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
109,01059,01015,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
110,01059,01010,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
111,01059,01009,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
112,01059,01008,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
113,01059,01007,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
114,01059,01006,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
115,01059,01004,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
116,01059,01012,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
117,01059,01002,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
118,01059,01001,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
119,01059,01005,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
120,01060,01322,moreda_de_alava,moreda_araba,alava,araba,pais_vasco,pais_vasco,moreda_de_alava,moreda_de_alava,moreda_de_alava,moreda_de_alava,moreda_araba,alava,alava,araba,araba
121,01061,01208,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena,asparrena,asparrena,asparrena,asparrena,alava,alava,araba,araba
122,01062,01212,berantevilla,berantevilla,alava,araba,pais_vasco,pais_vasco,berantevilla,berantevilla,berantevilla,berantevilla,berantevilla,alava,alava,araba,araba
123,01063,01139,zuia,zuia,alava,araba,pais_vasco,pais_vasco,zuia,zuia,zuia,zuia,zuia,alava,alava,araba,araba
124,01063,01450,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio,amurrio,amurrio,amurrio,amurrio,alava,alava,araba,araba
125,01063,01130,zuia,zuia,alava,araba,pais_vasco,pais_vasco,zuia,zuia,zuia,zuia,zuia,alava,alava,araba,araba
126,01901,01195,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
127,01901,01230,iruna_de_oca,iruna_oka,alava,araba,pais_vasco,pais_vasco,iruna_de_oca,iruna_de_oca,iruna_de_oca,iruna_de_oca,iruna_oka,alava,alava,araba,araba
128,01901,01428,ribera_alta,erriberagoitia,alava,araba,pais_vasco,pais_vasco,ribera_alta,ribera_alta,ribera_alta,ribera_alta,erriberagoitia,alava,alava,araba,araba
129,01901,01191,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,vitoria_gasteiz,alava,alava,araba,araba
130,01902,01213,ribera_alta,erriberagoitia,alava,araba,pais_vasco,pais_vasco,ribera_alta,ribera_alta,ribera_alta,ribera_alta,erriberagoitia,alava,alava,araba,araba
