,PC1_e,PC2_e,cities_es/province,PC1_c,PC2_c,PC3_c,PC4_c,PC1_d,PC2_d,PC1_g,PC2_g,PC3_g,PC1_r,PC2_r,PC3_r,PC1_tr,PC2_tr,PC1_t,PC2_t,cluster,latitud,longitud,provincia_original,municipio_original
1326,-0.16012358783164854,-0.30935451711836764,las_rozas_de_valdearroyo/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,-1.0610734112625675,0.07854840300064625,-0.5021257472661188,0.3314196587191976,-0.8654368642120167,-0.92439527042208,-0.5379496078586183,-0.3739264275021373,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,42.97274,-4.028184,Cantabria,Las Rozas de Valdearroyo
1327,-0.16012358783164854,-0.30935451711836764,ruente/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,-1.0269421758231854,0.055051216565866014,0.7816109762912723,-0.1653948522987431,-1.0263210762486663,-0.5266742114711276,-0.6548256391347097,-0.21267751695185835,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,43.25963,-4.265683,Cantabria,Ruente
1328,-0.16012358783164854,-0.30935451711836764,ruesga/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,-1.0284475570449738,0.10005004349732398,1.1908280636882689,-0.34661409888665085,-1.3092090772159264,-1.0053220150799842,-0.522475191554228,-0.6035070056591635,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,43.2825,-3.56,Cantabria,Ruesga
1329,-0.16012358783164854,-0.30935451711836764,ruiloba/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,-1.0524455568146365,0.06625630418404656,0.8913139414458753,-0.31920839743631946,-0.8895057906514383,-0.5050417442671904,-0.6572969543212085,-0.28577563012672536,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,43.38167,-4.2508339999999984,Cantabria,Ruiloba
1330,-0.16012358783164854,-0.30935451711836764,san_felices_de_buelna/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,-0.8962907387748714,0.04158853627162154,1.2135365449158562,-0.2577456236975288,-1.2976520456883438,-0.8410150888312252,-0.5474750451134592,-0.6556757949233447,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,43.27528,-4.048611,Cantabria,San Felices de Buelna
1331,-0.16012358783164854,-0.30935451711836764,san_pedro_del_romeral/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,-0.9886615551905134,0.08849782799178381,-0.18735959328994625,0.20252824300630048,-1.0184114268476745,-0.925824672350098,-0.5012668616509793,-0.3294264772062465,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,43.11516,-3.819026,Cantabria,San Pedro del Romeral
1332,-0.12426608353769802,-0.3091302777968321,santa_cruz_de_bezana/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,0.12688097432451126,-0.2415104482971378,0.8724081105035837,-0.4217166872831447,-0.8445698836093549,0.12847009781278654,-0.694340298218685,-0.3416380604681989,-0.6655687595115098,-2.1090687216894297,-0.4772412930823284,0.16034402471671927,0,43.44282000000001,-3.904777,Cantabria,Santa Cruz de Bezana
1333,-0.16012358783164854,-0.30935451711836764,santa_maria_de_cayon/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,-0.22366441400764212,-0.014356047237694769,1.0217591783897284,-0.3506419300556505,-1.0642562468332255,0.07201213114734918,-0.348030681338195,-0.6541389437397643,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,43.31036,-3.854225,Cantabria,Santa María de Cayón
1334,2.230485454623165,-0.32713966281880313,santander/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,17.59310042905688,2.5419928197444763,0.8388157423391212,-0.4959135213265683,-0.7288597371908653,10.115211456320088,-2.6345487680200868,-2.6301401104946756,-0.4947087557812186,-2.860039817966304,-0.4772412930823284,0.16034402471671927,6,43.46096,-3.807934,Cantabria,Santander
1335,-0.16012358783164854,-0.30935451711836764,santillana_del_mar/cantabria,0.9052529088780492,0.15234905894468098,-0.07399926191021891,1.221474038846741,0.1370414123053499,-0.06263499598735117,0.9392866342519068,-0.3089627371983402,-1.0024175540202949,0.035516596683825286,-0.3706971717027881,-0.33169774722963097,-1.1751952480941434,1.8317831502067217,-0.4772412930823284,0.16034402471671927,0,43.38897,-4.10918,Cantabria,Santillana del Mar
