UNIDAD;COMUNIDAD AUTONOMA;PROVINCIA;LOCALIDAD;DOMICILIO;CODIGO POSTAL;TELEFONO;OBSERVACIONES
 PUESTO DE MIAJADAS;EXTREMADURA;CACERES;MIAJADAS; AVDA. CRUZ DE LOS PAJARES, 167;10100;927347022;
 PUESTO DE MONROY;EXTREMADURA;CACERES;MONROY; C/ JUAN CASARES, 17;10194;927280027;
 PUESTO DE MONTANCHEZ;EXTREMADURA;CACERES;MONTANCHEZ; AVDA. JUAN CARLOS I, 4;10170;927380002;
 PUESTO DE MONTEHERMOSO;EXTREMADURA;CACERES;MONTEHERMOSO; CTRA. CORIA, 10;10810;927430248;
 PUESTO DE MORALEJA;EXTREMADURA;CACERES;MORALEJA;POLÕGONO 7, PARCELA 132 (DEHESA BOYAL);10840;927515013;
 PUESTO DE NAVACONCEJO;EXTREMADURA;CACERES;NAVACONCEJO;AVDA. JOS… M™ PIZARRO, 6;10613;927173143;
 PUESTO DE NAVAS DEL MADRO¥O;EXTREMADURA;CACERES;NAVAS DEL MADRO¥O; C/ ISABEL HERRER0, 73;10930;927375014;
 PUESTO DE NU—OMORAL;EXTREMADURA;CACERES;NU—OMORAL; C/ FACTORIA EL JORDAN, S/N.;10626;927433004;
 PUESTO DE PERALEDA DE LA MATA;EXTREMADURA;CACERES;PERALEDA DE LA MATA; C/ EMILIO CARRE¥O, 14;10335;927559011;
 PUESTO DE PLASENCIA;EXTREMADURA;CACERES;PLASENCIA; AVDA. JUAN CARLOS I, 1;10600;927412308;
 PUESTO DE SALORINO;EXTREMADURA;CACERES;SALORINO; C/ DEL CURA, 10;10570;927593002;
 PUESTO DE SAN MARTIN DE TREVEJO;EXTREMADURA;CACERES;SAN MARTIN DE TREVEJO; AVDA. DE SALAMANCA 33;10892;927144087;
 PUESTO DE SANTIAGO DE ALCANTARA;EXTREMADURA;CACERES;SANTIAGO DE ALCANTARA; CUARTEL GUARDIA CIVIL, 37;10510;927592040;
 PUESTO DE SANTIAGO DEL CAMPO;EXTREMADURA;CACERES;SANTIAGO DEL CAMPO; AVDA. CACERES, 26;10191;927283010;
 PUESTO DE SERRADILLA;EXTREMADURA;CACERES;SERRADILLA; C/ SAN ANTONIO, 89;10530;927407024;
 PUESTO DE SIERRA DE FUENTES;EXTREMADURA;CACERES;SIERRA DE FUENTES; C/ BUENAVISTA, 11;10181;927201282;
 PUESTO DE TALAVAN;EXTREMADURA;CACERES;TALAVAN; AVDA. CONSTITUCION, S/N;10193;927285007;
 PUESTO DE TALAYUELA;EXTREMADURA;CACERES;TALAYUELA;AVDA. MAGISTERIO, S/N;10310;927578375;
 PUESTO DE TORRECILLA DE LA TIESA;EXTREMADURA;CACERES;TORRECILLA DE LA TIESA; C/ VALLISPEDRO, 1;10252;927338027;
 PUESTO DE TORREJON EL RUBIO;EXTREMADURA;CACERES;TORREJON EL RUBIO; C/ HERNAN CORTES, 6;10694;927455018;
 PUESTO DE TORREJONCILLO;EXTREMADURA;CACERES;TORREJONCILLO; CTRA. CIUDAD RODRIGO, 57;10830;927304351;
 PUESTO DE TORREMOCHA;EXTREMADURA;CACERES;TORREMOCHA; C/ CTRA. DE MEDELLIN, S/N;10184;927127013;
 PUESTO DE TRUJILLO;EXTREMADURA;CACERES;TRUJILLO; C/ CAMPO DE S. JUAN S/n;10200;927321004;
 PUESTO DE VALDEFUENTES;EXTREMADURA;CACERES;VALDEFUENTES; C/ CUARTEL, 2;10180;927388005;
 PUESTO DE VALDELACASA DE TAJO;EXTREMADURA;CACERES;VALDELACASA DE TAJO; C/ LA FUENTE, 18;10332;927576112;
 PUESTO DE VALENCIA DE ALCANTARA;EXTREMADURA;CACERES;VALENCIA DE ALC¡NTARA;C/ PARQUE DE ESPA—A, S/N;10500;927580721;
 PUESTO DE VALVERDE DEL FRESNO;EXTREMADURA;CACERES;VALVERDE DEL FRESNO;AVDA. DR. CASTO PRIETO CARRASCO, 48;10890;927510032;
 PUESTO DE VILLANUEVA DE LA SIERRA;EXTREMADURA;CACERES;VILLANUEVA DE LA SIERRA; AVDA.DE LA PAZ S/N;10812;927445012;
 PUESTO DE VILLANUEVA DE LA VERA;EXTREMADURA;CACERES;VILLANUEVA DE LA VERA; C/ LANCHA LISA, 34;10470;927567261;
 PUESTO DE VILLAR DEL PEDROSO;EXTREMADURA;CACERES;VILLAR DEL PEDROSO; AVDA.GRAL.ADELAIDO CORROCHANO, 3;10330;927555048;
 PUESTO DE ZARZA DE GRANADILLA;EXTREMADURA;CACERES;ZARZA DE GRANADILLA; C/ CUARTEL, 3;10710;927487005;
 PUESTO DE ZARZA LA MAYOR;EXTREMADURA;CACERES;ZARZA LA MAYOR; AVDA. CONSTITUCION, 59;10880;927370203;
 PUESTO DE ZORITA;EXTREMADURA;CACERES;ZORITA; AVDA.CONSTITUCION, 104;10130;927340014;
 PUESTO P. DE NAVALMORAL DE LA MATA;EXTREMADURA;CACERES;NAVALMORAL DE LA MATA; CTRA. JARANDILLA, 4;10300;927531095;
 SUBSECTOR TRAF. CµCERES;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
COMPA—ÕA DE PLANA MAYOR;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
USECIC;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
UNIDAD ORG¡NICA DE POLICÕA JUDICIAL;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
GRUPO CINOL”GICO C¡CERES;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
I.A.E. COMANDANCIA;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
I.A.E. TRUJILLO;EXTREMADURA;CACERES;TRUJILLO; C/ CAMPO DE S. JUAN S/n;10200;927321004;
I.A.E. GUADALUPE;EXTREMADURA;CACERES;GUADALUPE; C/ FEDERICO GONZALEZ, 25;10140;927367010;
I.A.E. NAVALMORAL DE LA MATA;EXTREMADURA;CACERES;NAVALMORAL DE LA MATA; CTRA. JARANDILLA, 4;10300;927531095;
I.A.E. PLASENCIA;EXTREMADURA;CACERES;PLASENCIA; AVDA. JUAN CARLOS I, 1;10600;927412308;
I.A.E. CORIA;EXTREMADURA;CACERES;CORIA; C/ ALFONSO VII, 62;10800;927500013;
I.A.E. VALENCIA DE ALC¡NTARA;EXTREMADURA;CACERES;VALENCIA DE ALC¡NTARA;C/ PARQUE DE ESPA—A, S/N;10500;927580721;
PAFIF CORIA;EXTREMADURA;CACERES;CORIA; C/ ALFONSO VII, 62;10800;927500013;
PAFIF VALENCIA DE ALC¡NTARA;EXTREMADURA;CACERES;VALENCIA DE ALC¡NTARA;C/ PARQUE DE ESPA—A, S/N;10500;927580721;
GATI C¡CERES;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
DTO. SAEP C¡CERES;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
OFICINA PREVENCI”N RIESGOS LABORALES;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
DTO. SERVICIO MATERIAL M”VIL;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
SECCI”N SEPRONA;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
OFICINA T…CNICA SEPRONA;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
PACPRONA C¡CERES;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
PAPRONA C¡CERES;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
PAPRONA TRUJILLO;EXTREMADURA;CACERES;TRUJILLO; C/ CAMPO DE S. JUAN S/n;10200;927321004;
PAPRONA GUADALUPE;EXTREMADURA;CACERES;GUADALUPE; C/ FEDERICO GONZALEZ, 25;10140;927367010;
PAPRONA CASATEJADA;EXTREMADURA;CACERES;CASATEJADA; AVDA. DE LA CONSTITUCION, 26;10520;927547029;
PAPRONA JARANDILLA DE LA VERA;EXTREMADURA;CACERES;JARANDILLA DE LA VERA; AVDA. SOLEDAD VEGA ORTIZ, 80;10450;927560028;
PAPRONA PLASENCIA;EXTREMADURA;CACERES;PLASENCIA; AVDA. JUAN CARLOS I, 1;10600;927412308;
PAPRONA CAMINOMORISCO;EXTREMADURA;CACERES;CAMINOMORISCO; C/ FACTORIA LOS ANGELES, 4;10620;927435014;
PAPRONA CORIA;EXTREMADURA;CACERES;CORIA; C/ ALFONSO VII, 62;10800;927500013;
PAPRONA VALENCIA DE ALC¡NTARA;EXTREMADURA;CACERES;VALENCIA DE ALC¡NTARA;C/ PARQUE DE ESPA—A, S/N;10500;927580721;
EPRONA;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
SERVICIO ASISTENCIA SANITARIA;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
OFICINA PLANA MAYOR COMANDANCIA;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
N⁄CLEO DE SERVICIOS;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
N⁄CLEO DE DESTINOS;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
EQUIPO POLICÕA JUDICIAL TRUJILLO;EXTREMADURA;CACERES;TRUJILLO; C/ CAMPO DE S. JUAN S/n;10200;927321004;
EQUIPO POLICÕA JUDICIAL NAVALMORAL DE LA MATA;EXTREMADURA;CACERES;NAVALMORAL DE LA MATA; CTRA. JARANDILLA, 4;10300;927531095;
EQUIPO POLICÕA JUDICIAL PLASENCIA;EXTREMADURA;CACERES;PLASENCIA; AVDA. JUAN CARLOS I, 1;10600;927412308;
EQUIPO POLICÕA JUDICIAL CORIA;EXTREMADURA;CACERES;CORIA; C/ ALFONSO VII, 62;10800;927500013;
EMUME;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
SECCI”N INVESTIGACI”N POLICÕA JUDICIAL;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
EDOA;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
EQUIPO PATRIMONIO - UOPJ;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
EQUIPO PERSONAS - UOPJ;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
LABORATORIO - UOPJ;EXTREMADURA;CACERES;C¡CERES; AVDA. DE LA UNIVERSIDAD, 50;10003;927628150;
 C.O.S.;EXTREMADURA;BADAJOZ;BADAJOZ; PZA. DE SANTO DOMINGO, 2.;6001;924205777;
 CCPA DE CAYA (CNP);EXTREMADURA;BADAJOZ;BADAJOZ; AVDA. DE ELVAS, S/N;6006;924271836;
 CMDA. BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ; PZA. DE SANTO DOMINGO, 2.;6002;924205750;
 COMPA—IA DE BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ; C/ VENTURA REYES PROSPER, 4;6009;924205784;
 COMPA—IA DE JEREZ DE LOS CABALLEROS;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS; CTRA. DE VILLANUEVA, 29;6380;924730067;X
 COMPA—IA DE LLERENA;EXTREMADURA;BADAJOZ;LLERENA; AVDA. DE CORDOBA, 11;6900;924873819;
 COMPA—IA DE MERIDA;EXTREMADURA;BADAJOZ;MERIDA; AVDA. DUQUE DE AHUMADA, S/n;6800;924370035;
 COMPA—IA DE TALARRUBIAS;EXTREMADURA;BADAJOZ;TALARRUBIAS; AVDA. DE LA CONSTITUCION, 111;6640;924630007;
 COMPA—IA DE VILLANUEVA DE LA SERENA;EXTREMADURA;BADAJOZ;VILLANUEVA DE LA SERENA; AVDA. DE CHILE, 27;6700;924846038;
 COMPA—IA DE ZAFRA;EXTREMADURA;BADAJOZ;ZAFRA; AVDA. LOPEZ ASME, 9;6300;924550124;
 DESTO. BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ; C/ ANTONIO PESSINI, 3;6001;924207666;
 DESTO. DON BENITO;EXTREMADURA;BADAJOZ;DON BENITO; AVDA. ALONSO MARTIN, 14;6400;924811371;
 DESTO. MERIDA;EXTREMADURA;BADAJOZ;MERIDA; AVDA. DUQUE DE AHUMADA, S/n;6800;924370004;
 DESTO. ZAFRA;EXTREMADURA;BADAJOZ;ZAFRA; AVDA. LOPEZ ASME, 9;6300;924552205;
 EQUIPO P. J. LLERENA;EXTREMADURA;BADAJOZ;LLERENA; AVDA. DE CORDOBA, 11;6900;924873819;
 ESCUELA DE TRAFICO MERIDA;EXTREMADURA;BADAJOZ;MERIDA; AVDA. DUQUE DE AHUMADA, S/N;6800;924383300;
 I. ARMAS Y EXPLASIVOS DE VILLANUEVA DE CASTUERA;EXTREMADURA;BADAJOZ;CASTUERA; C/ DUQUE DE AHUMADA, 1;6420;924849058;
 I. ARMAS Y EXPLASIVOS DE VILLANUEVA DE LA SERENA;EXTREMADURA;BADAJOZ;VILLANUEVA DE LA SERENA; AVDA. DE CHILE, 27;6700;924849058;
 I. ESPECIAL DE ARMAS Y EXPLOSIVOS DE MONTIJO;EXTREMADURA;BADAJOZ;MONTIJO; C/ VIRGEN DE BARBA—O, 88;6480;924450170-924454566;
 I. ORDINARIA DE ARMAS Y EXPLOSIVOS DE JEREZ DE LOS CABALLEROS;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS; CTRA. DE VILLANUEVA, 29;6380;924751847;
 PUESTO DE ACEUCHAL;EXTREMADURA;BADAJOZ;ACEUCHAL; CTRA. ALMENDRALEJO, 1;6207;924680068;
 PUESTO DE ALANGE;EXTREMADURA;BADAJOZ;ALANGE; C/ ENCOMIENDA, 16;6840;924365212;
 PUESTO DE ALBURQUERQUE;EXTREMADURA;BADAJOZ;ALBURQUERQUE; C/ MAYORGA S/N;6510;924400005;
 PUESTO DE ALCONCHEL;EXTREMADURA;BADAJOZ;ALCONCHEL; CTRA. VILLANUEVA DEL FRESNO, S/N;6131;924420003;
 PUESTO DE ALMENDRAL;EXTREMADURA;BADAJOZ;ALMENDRAL; PZA. DE ESPA—A, 2;6171;924483003;
 PUESTO DE ALMENDRALEJO;EXTREMADURA;BADAJOZ;ALMENDRALEJO; C/ LABRADOR, 4;6200;924677305;
 PUESTO DE ARROYO DE SAN SERVAN;EXTREMADURA;BADAJOZ;ARROYO DE SAN SERVAN; AVDA.EXTREMADURA, 38;6850;924342077;
 PUESTO DE AZUAGA;EXTREMADURA;BADAJOZ;AZUAGA;C/ MATACHEL  S/N;6920;924137954;X
 PUESTO P. VALDEB”TOA-BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ; PZA. DE SANTO DOMINGO, 2.;6001;924205750;X
 PUESTO DE BARCARROTA;EXTREMADURA;BADAJOZ;BARCARROTA; C/ ALCARACHE, 2;6160;924736033;
 PUESTO DE BERLANGA;EXTREMADURA;BADAJOZ;BERLANGA;AVD ARRIEROS S/N;6930;924894007;X
 PUESTO DE BIENVENIDA;EXTREMADURA;BADAJOZ;BIENVENIDA; CTRA. LA ESTACION, S/N;6250;924506006;
 PUESTO DE BURGUILLOS DEL CERRO;EXTREMADURA;BADAJOZ;BURGUILLOS DEL CERRO; AVDA. LA PAZ, 27;6370;924541027;
 PUESTO DE CABEZA DEL BUEY;EXTREMADURA;BADAJOZ;CABEZA DEL BUEY; AVDA. NTRA. SRA. DE BELIN, 10;6600;924600053;
 PUESTO DE CAMPANARIO;EXTREMADURA;BADAJOZ;CAMPANARIO; AVDA.CONSTITUCION, 66;6460;924831013;
 PUESTO DE CAMPILLO DE LLERENA;EXTREMADURA;BADAJOZ;CAMPILLO DE LLERENA; C/ MOLINO DE VIENTO, S/N;6443;924770028;
 PUESTO DE CASAS DE DON PEDRO;EXTREMADURA;BADAJOZ;CASAS DE DON PEDRO; CTRA. DE PELA, 21;6770;924864005;
 PUESTO DE CASTILBLANCO;EXTREMADURA;BADAJOZ;CASTILBLANCO; PZA. RODRIGO MARTIN, S/N;6680;924654133;
 PUESTO DE CASTUERA;EXTREMADURA;BADAJOZ;CASTUERA; C/ DUQUE DE AHUMADA, 1;6420;924772166;
 PUESTO DE CHELES;EXTREMADURA;BADAJOZ;CHELES; C/ CUARTEL, 1;6105;924423002;
 PUESTO DE CORDOVILLA DE LACARA;EXTREMADURA;BADAJOZ;CORDOVILLA DE LACARA; AVDA. FATIMA, 23;6487;924320041;
 PUESTO DE DON BENITO;EXTREMADURA;BADAJOZ;DON BENITO; AVDA. ALONSO MARTIN, 14;6400;924811508;
 PUESTO DE FREGENAL DE LA SIERRA;EXTREMADURA;BADAJOZ;FREGENAL DE LA SIERRA; AVDA. DE ESPA—A, 87;6340;924700013;
 PUESTO DE FUENLABRADA DE LOS MONTES;EXTREMADURA;BADAJOZ;FUENLABRADA DE LOS MONTES; C/ SANTA ANA, 1;6660;924656009;
 PUESTO DE FUENTE DE CANTOS;EXTREMADURA;BADAJOZ;FUENTE DE CANTOS; C/ REAL, 84;6240;924500008;
 PUESTO DE FUENTE DEL MAESTRE;EXTREMADURA;BADAJOZ;FUENTE DEL MAESTRE;AVDA. EUROPA, S/N;6360;924530059;X
 PUESTO DE FUENTES DE LEON;EXTREMADURA;BADAJOZ;FUENTES DE LEON; AVDA.DE PORTUGAL, 5;6280;924724332;
 PUESTO DE GRANJA DE TORREHERMOSA;EXTREMADURA;BADAJOZ;GRANJA DE TORREHERMOSA; C/ SAN SEBASTIAN, S/N;6910;924895034;
 PUESTO DE GUADIANA DEL CAUDILLO;EXTREMADURA;BADAJOZ;GUADIANA DEL CAUDILLO; C/ FEDERICO GARCIA LORCA S/N;6186;924470106;
 PUESTO DE GUARE—A;EXTREMADURA;BADAJOZ;GUARE—A; CTRA. DE MANCHITA S/N;6470;924350132;
 PUESTO DE HELECHOSA DE LOS MONTES;EXTREMADURA;BADAJOZ;HELECHOSA DE LOS MONTES; AVDA.EXTREMADURA, 18;6692;924658002;
 PUESTO DE HERRERA DEL DUQUE;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE; AVDA. LA PALMERA, 28;6670;924650002;
 PUESTO DE HIGUERA DE VARGAS;EXTREMADURA;BADAJOZ;HIGUERA DE VARGAS; C/ PILAR, 19;6132;924424002;
 PUESTO DE HIGUERA LA REAL;EXTREMADURA;BADAJOZ;HIGUERA LA REAL; C/ ESPIRITU SANTO, 43;6350;924723152;
 PUESTO DE HORNACHOS;EXTREMADURA;BADAJOZ;HORNACHOS; AVDA. EXTREMADURA, 81;6228;924533002;
 PUESTO DE JEREZ DE LOS CABALLEROS;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS; CTRA. DE VILLANUEVA, 29;6380;924730067;
 PUESTO DE LA ALBUERA;EXTREMADURA;BADAJOZ;LA ALBUERA; AVDA. EXTREMADURA, 111;6170;924480002;
 PUESTO DE LA GARROVILLA;EXTREMADURA;BADAJOZ;LA GARROVILLA; AVDA. EXTREMADURA, 41;6870;924335021;X
 PUESTO DE LA NAVA DE SANTIAGO;EXTREMADURA;BADAJOZ;LA NAVA DE SANTIAGO; C/ SANTA QUITERIA, 69;6486;924321018;
 PUESTO DE LA PARRA;EXTREMADURA;BADAJOZ;LA PARRA; PSO. HERNAN CORTES, S/N;6176;924682402;
 PUESTO DE LA ROCA DE LA SIERRA;EXTREMADURA;BADAJOZ;LA ROCA DE LA SIERRA; C/ FRAY ALONSO DE MANZANETE, 72;6190;924406156;
 PUESTO DE LLERENA;EXTREMADURA;BADAJOZ;LLERENA; AVDA. DE CORDOBA, 11;6900;924873819;
 PUESTO DE LOBON;EXTREMADURA;BADAJOZ;LOBON; AVDA. DE EXTREMADURA, 11;6498;924447405;
 PUESTO DE LOS SANTOS DE MAIMONA;EXTREMADURA;BADAJOZ;LOS SANTOS DE MAIMONA; C/ MERIDA, 18;6230;924544013;
 PUESTO DE MEDELLIN;EXTREMADURA;BADAJOZ;MEDELLIN; CTRA. ESTACION, 9;6411;924822506;
 PUESTO DE MERIDA;EXTREMADURA;BADAJOZ;MERIDA; AVDA. DUQUE DE AHUMADA, S/n;6800;924371200;
 PUESTO DE MONESTERIO;EXTREMADURA;BADAJOZ;MONESTERIO; C/ SEVILLA, 3;6260;924516013;
 PUESTO DE MONTERRUBIO DE LA SERENA;EXTREMADURA;BADAJOZ;MONTERRUBIO DE LA SERENA; C/ RODEO S/N;6427;924610084;
 PUESTO DE NAVALVILLAR DE PELA;EXTREMADURA;BADAJOZ;NAVALVILLAR DE PELA; C/ CONSTITUCION, 67;6760;924860028;
 PUESTO DE OLIVA DE LA FRONTERA;EXTREMADURA;BADAJOZ;OLIVA DE LA FRONTERA; AVDA. JUAN XXIII, 92;6120;924740035;
 PUESTO DE OLIVENZA;EXTREMADURA;BADAJOZ;OLIVENZA; AVDA. VILLARREAL, S/N;6100;924492820;
 PUESTO DE ORELLANA LA VIEJA;EXTREMADURA;BADAJOZ;ORELLANA LA VIEJA; PZA. DE ESPA—A, 1;6740;924866013;
 PUESTO DE PE—ALSORDO;EXTREMADURA;BADAJOZ;PE—ALSORDO; AVDA. DE LA PAZ, 22;6610;924614060;
 PUESTO DE PUEBLA DE ALCOCER;EXTREMADURA;BADAJOZ;PUEBLA DE ALCOCER; C/ FRANCISCO CHACON, 28;6630;924620013;
 PUESTO DE PUEBLA DEL MAESTRE;EXTREMADURA;BADAJOZ;PUEBLA DEL MAESTRE; C/ BUENOS AIRES, 36;6906;924512001;
 PUESTO DE QUINTANA DE LA SERENA;EXTREMADURA;BADAJOZ;QUINTANA DE LA SERENA; PZA. LA ERMITA, 72;6450;924786001;
 PUESTO DE RIBERA DEL FRESNO;EXTREMADURA;BADAJOZ;RIBERA DEL FRESNO; AVDA. CUARTEL S/N;6225;924536013;
 PUESTO DE SALVATIERRA DE LOS BARROS;EXTREMADURA;BADAJOZ;SALVATIERRA DE LOS BARROS; C/ MANUEL VINAGRE, 44;6175;924698012;
 PUESTO DE SAN PEDRO DE MERIDA;EXTREMADURA;BADAJOZ;SAN PEDRO DE MERIDA; AVDA. DE MERIDA, 20;6893;924325107;
 PUESTO DE SAN VICENTE DE ALCANTARA;EXTREMADURA;BADAJOZ;SAN VICENTE DE ALCANTARA; C/ COLON, 63;6500;924410029;
 PUESTO DE SANTA AMALIA;EXTREMADURA;BADAJOZ;SANTA AMALIA; C/ GUARDIA CIVIL, 10;6410;924830008;
 PUESTO DE SANTA MARTA DE LOS BARROS;EXTREMADURA;BADAJOZ;SANTA MARTA DE LOS BARROS; C/ LA VIRGEN, 16;6150;924690013;
 PUESTO DE SEGURA DE LEON;EXTREMADURA;BADAJOZ;SEGURA DE LEON; C/ GUARDIA CIVIL, 5;6270;924703130;
 PUESTO DE SIRUELA;EXTREMADURA;BADAJOZ;SIRUELA; C/ HONTANA, 39;6650;924626002;X
 PUESTO DE SOLANA DE LOS BARROS;EXTREMADURA;BADAJOZ;SOLANA DE LOS BARROS; PZA. ANTOLIN HURTADO, 10;6209;924683013;
 PUESTO DE TALARRUBIAS;EXTREMADURA;BADAJOZ;TALARRUBIAS; AVDA. DE LA CONSTITUCION, 111;6640;924630007;
 PUESTO DE TALAVERA LA REAL;EXTREMADURA;BADAJOZ;TALAVERA LA REAL; AVDA. EXTREMADURA, 73;6140;924440281;
 PUESTO DE USAGRE;EXTREMADURA;BADAJOZ;USAGRE; C/ GUARDIA CIVIL, 34;6290;924585213;
 PUESTO DE VALDECABALLEROS;EXTREMADURA;BADAJOZ;VALDECABALLEROS; C/ GAVIA, S/N;6689;924643101;
 PUESTO DE VALDETORRES;EXTREMADURA;BADAJOZ;VALDETORRE; AVDA.DE LOS EMIGRANTES, 15;6474;924368530;
 PUESTO DE VALDIVIA;EXTREMADURA;BADAJOZ;VALDIVIA; C/ PIO XII S/N;6720;924832029;
 PUESTO DE VALENCIA DE LAS TORRES;EXTREMADURA;BADAJOZ;VALENCIA DE LAS TORRES; C/ CARRETERA, S/N;6444;924881003;
 PUESTO DE VALENCIA DEL VENTOSO;EXTREMADURA;BADAJOZ;VALENCIA DEL VENTOSO; C/ HERNAN CORTES, 32;6330;924562180;
 PUESTO DE VALVERDE DE LEGANES;EXTREMADURA;BADAJOZ;VALVERDE DE LEGANES; C/ OLIVENZA, 14;6130;924496004;
 PUESTO DE VALVERDE DE LLERENA;EXTREMADURA;BADAJOZ;VALVERDE DE LLERENA; C/ TRIANA, S/N;6927;924898003;
 PUESTO DE VALVERDE DE MERIDA;EXTREMADURA;BADAJOZ;VALVERDE DE MERIDA;CAMINO DE TRUJILLANOS S/N;6890;924321831;X
 PUESTO DE VILLAFRANCA DE LOS BARROS;EXTREMADURA;BADAJOZ;VILLAFRANCA DE LOS BARROS; PZA. SAN ISIDRO, 2;6220;924524113;
 PUESTO DE VILLAGARCIA DE LA TORRE;EXTREMADURA;BADAJOZ;VILLAGARCIA DE LA TORRE; CTRA. LLERENA, S/N;6950;924875516;
 PUESTO DE VILLANUEVA DE LA SERENA;EXTREMADURA;BADAJOZ;VILLANUEVA DE LA SERENA; AVDA. DE CHILE, 27;6700;924846038;
 PUESTO DE VILLANUEVA DEL FRESNO;EXTREMADURA;BADAJOZ;VILLANUEVA DEL FRESNO; AVDA. PORTUGAL, S/N;6110;924427013;
 PUESTO DE VILLAR DE RENA;EXTREMADURA;BADAJOZ;VILLAR DE RENA; C/ CARRETERA, 2;6716;924835102;
 PUESTO DE VILLAR DEL REY;EXTREMADURA;BADAJOZ;VILLAR DEL REY; C/ EMILIO RIVERO, 71;6192;924414002;
 PUESTO DE ZAHINOS;EXTREMADURA;BADAJOZ;ZAHINOS; AVDA. OLIVAR, 2;6129;924738003;
 PUESTO DE ZALAMEA DE LA SERENA;EXTREMADURA;BADAJOZ;ZALAMEA DE LA SERENA; C/ LA FUENTE, 206;6430;924780001;
 PUESTO FISCAL DE AEROPUERTO DE BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ; C/ BADAJOZ-BALVOA S/N;6195;924210426;
 PUESTO FISCAL DE CAYA;EXTREMADURA;BADAJOZ;CAYA; AVDA. DE EL VAS S/N;6006;924275467;
 PUESTO P. DE MONTIJO;EXTREMADURA;BADAJOZ;MONTIJO; C/ VIRGEN DE BARBA—O, 88;6480;924454566;
 PUESTO P. DE ZAFRA;EXTREMADURA;BADAJOZ;ZAFRA; AVDA. LOPEZ ASME, 9;6300;924550124;
 SECTOR TRAF. BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ; PZA. DE SANTO DOMINGO, 2.;6001;924261007;
 SUBSECTOR TRAF. BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ; C/ ANTONIO PESSINI, 3;6001;924230617;
 ZONA EXTREMADURA;EXTREMADURA;BADAJOZ;BADAJOZ; PZA. DE SANTO DOMINGO, 2.;6002;924205750;
 C.O.S.;ANDALUCIA;ALMERIA;ALMERIA;GLORIETA MANUEL FRAGA IRIBARNE S/N;4006;950277603;
