,cp,municipio,provincia,ccaa
5408,27450,panton,lugo,galicia
5409,27460,sober,lugo,galicia
5410,27466,sober,lugo,galicia
5411,27468,sober,lugo,galicia
5412,27469,sober,lugo,galicia
5413,27470,panton,lugo,galicia
5414,27500,chantada,lugo,galicia
5415,27510,chantada,lugo,galicia
5416,27511,chantada,lugo,galicia
5417,27512,chantada,lugo,galicia
5418,27513,chantada,lugo,galicia
5419,27514,chantada,lugo,galicia
5420,27515,chantada,lugo,galicia
5421,27516,chantada,lugo,galicia
5422,27517,chantada,lugo,galicia
5423,27518,chantada,lugo,galicia
5424,27519,chantada,lugo,galicia
5425,27520,carballedo,lugo,galicia
5426,27527,carballedo,lugo,galicia
5427,27528,carballedo,lugo,galicia
5428,27529,carballedo,lugo,galicia
5429,27530,carballedo,lugo,galicia
5430,27531,carballedo,lugo,galicia
5431,27532,carballedo,lugo,galicia
5432,27533,carballedo,lugo,galicia
5433,27540,o_savinao,lugo,galicia
5434,27543,o_savinao,lugo,galicia
5435,27544,o_savinao,lugo,galicia
5436,27545,o_savinao,lugo,galicia
5437,27546,o_savinao,lugo,galicia
5438,27547,o_savinao,lugo,galicia
5439,27548,o_savinao,lugo,galicia
5440,27549,panton,lugo,galicia
5441,27550,taboada,lugo,galicia
5442,27554,taboada,lugo,galicia
5443,27555,taboada,lugo,galicia
5444,27556,taboada,lugo,galicia
5445,27557,taboada,lugo,galicia
5446,27558,taboada,lugo,galicia
5447,27559,taboada,lugo,galicia
5448,27560,monterroso,lugo,galicia
5449,27568,monterroso,lugo,galicia
5450,27569,monterroso,lugo,galicia
5451,27570,antas_de_ulla,lugo,galicia
5452,27576,antas_de_ulla,lugo,galicia
5453,27577,antas_de_ulla,lugo,galicia
5454,27578,antas_de_ulla,lugo,galicia
5455,27579,antas_de_ulla,lugo,galicia
5456,27590,monforte_de_lemos,lugo,galicia
5457,27591,monforte_de_lemos,lugo,galicia
5458,27592,monforte_de_lemos,lugo,galicia
5459,27593,panton,lugo,galicia
5460,27594,o_savinao,lugo,galicia
5461,27595,chantada,lugo,galicia
5462,27596,taboada,lugo,galicia
5463,27600,sarria,lugo,galicia
5464,27610,sarria,lugo,galicia
5465,27611,paradela,lugo,galicia
5466,27612,paradela,lugo,galicia
5467,27613,sarria,lugo,galicia
5468,27614,lancara,lugo,galicia
5469,27615,lancara,lugo,galicia
5470,27616,sarria,lugo,galicia
5471,27617,sarria,lugo,galicia
5472,27618,sarria,lugo,galicia
5473,27619,sarria,lugo,galicia
5474,27620,samos,lugo,galicia
5475,27623,samos,lugo,galicia
5476,27624,samos,lugo,galicia
5477,27625,samos,lugo,galicia
5478,27626,samos,lugo,galicia
5479,27627,samos,lugo,galicia
5480,27628,samos,lugo,galicia
5481,27630,triacastela,lugo,galicia
5482,27631,samos,lugo,galicia
5483,27632,triacastela,lugo,galicia
5484,27633,o_paramo,lugo,galicia
5485,27634,triacastela,lugo,galicia
5486,27635,samos,lugo,galicia
5487,27636,samos,lugo,galicia
5488,27637,sarria,lugo,galicia
5489,27638,samos,lugo,galicia
5490,27639,triacastela,lugo,galicia
5491,27640,becerrea,lugo,galicia
5492,27646,as_nogais,lugo,galicia
5493,27647,becerrea,lugo,galicia
5494,27648,becerrea,lugo,galicia
5495,27649,becerrea,lugo,galicia
5496,27650,becerrea,lugo,galicia
5497,27651,navia_de_suarna,lugo,galicia
5498,27652,navia_de_suarna,lugo,galicia
5499,27653,navia_de_suarna,lugo,galicia
5500,27654,navia_de_suarna,lugo,galicia
5501,27655,navia_de_suarna,lugo,galicia
5502,27656,navia_de_suarna,lugo,galicia
5503,27657,navia_de_suarna,lugo,galicia
5504,27658,navia_de_suarna,lugo,galicia
5505,27659,cervantes,lugo,galicia
5506,27660,becerrea,lugo,galicia
5507,27661,becerrea,lugo,galicia
5508,27662,cervantes,lugo,galicia
5509,27663,becerrea,lugo,galicia
5510,27664,becerrea,lugo,galicia
5511,27665,cervantes,lugo,galicia
5512,27666,cervantes,lugo,galicia
5513,27667,cervantes,lugo,galicia
5514,27668,becerrea,lugo,galicia
5515,27670,pedrafita_do_cebreiro,lugo,galicia
5516,27671,pedrafita_do_cebreiro,lugo,galicia
5517,27672,pedrafita_do_cebreiro,lugo,galicia
