CP,Municipio,Total Comercios,B_E Industria,F Construcción,"Comercio, transporte y hostelería",J Información y comunicaciones,K Actividades financieras y de seguros,L Actividades inmobiliarias,Actividades profesionales y técnicas,"Educación, sanidad y servicios sociales",Otros servicios personales,Total servicios
 29082,Rincón de la Victoria,"3,130",73,277,"1,074",71,122,161,707,317,328,"1,706"
 29083,Riogordo,139,7,32,58, , , , , , ,42
 29084,Ronda,"2,335",104,246,"1,027",17,49,120,340,196,236,958
 29085,Salares,12, , , , , , , , , , 
 29086,Sayalonga,76,7,17,33, , , , , , ,19
 29087,Sedella,17, , , , , , , , , , 
 29088,Sierra de Yeguas,186,21,21,100, , , , , , ,44
 29089,Teba,207,20,23,109, , , , , , ,55
 29090,Tolox,74,.,.,40, , , , , , ,23
 29091,Torrox,"1,149",42,145,480,14,22,68,202,63,113,482
 29092,Totalán,24, , , , , , , , , , 
 29093,Valle de Abdalajís,78,.,.,51, , , , , , ,15
 29094,Vélez-Málaga,"5,572",261,646,"2,397",81,147,291,845,429,475,"2,268"
 29095,Villanueva de Algaidas,229,16,39,114, , , , , , ,60
 29096,Villanueva del Rosario,178,.,.,88, , , , , , ,47
 29097,Villanueva del Trabuco,329,31,51,168,.,.,7,29,13,22,79
 29098,Villanueva de Tapia,74,5,12,37, , , , , , ,20
 29099,Viñuela,102,9,19,47, , , , , , ,27
 29100,Yunquera,128,10,27,63, , , , , , ,28
 29901,Torremolinos,"5,202",105,427,"2,297",104,109,353,941,404,462,"2,373"
 29902,Villanueva de la Concepción,155,13,27,86, , , , , , ,29
 29903,Montecorto,., , , , , , , , , , 
 29904,Serrato,., , , , , , , , , , 
 30 Mu,cia,"95,456","7,095","12,649","37,167","1,313","2,028","4,219","15,153","7,086","8,746","38,545"
 30001,Abanilla,363,44,56,173,.,.,20,34,10,20,90
 30002,Abarán,608,58,67,280,5,11,20,68,36,63,203
 30003,Águilas,"1,918",85,284,791,17,41,97,293,111,199,758
 30004,Albudeite,37,7,6,15, , , , , , ,9
 30005,Alcantarilla,"2,516",248,334,"1,081",27,37,88,313,151,237,853
 30006,Aledo,33,6,4,12, , , , , , ,11
 30007,Alguazas,443,36,55,191,10,9,11,51,28,52,161
 30008,Alhama de Murcia,"1,228",123,140,502,13,15,41,163,89,142,463
 30009,Archena,"1,096",89,155,491,6,21,28,135,71,100,361
 30010,Beniel,625,52,119,292,.,.,12,59,24,56,162
 30011,Blanca,334,28,46,146,.,11,.,43,16,35,114
 30012,Bullas,752,85,137,276,7,14,22,95,35,81,254
 30013,Calasparra,611,69,82,297,5,10,18,52,28,50,163
 30014,Campos del Río,88,4,22,38, , , , , , ,24
 30015,Caravaca de la Cruz,"1,940",270,214,835,19,37,60,228,119,158,621
 30016,Cartagena,"11,692",542,"1,472","4,521",126,264,611,"1,973",997,"1,186","5,157"
 30017,Cehegín,962,86,127,427,10,22,15,106,63,106,322
 30018,Ceutí,834,87,151,345,15,14,19,86,47,70,251
 30019,Cieza,"1,788",194,259,747,20,25,59,231,111,142,588
 30020,Fortuna,623,71,83,300,8,12,22,63,25,39,169
 30021,Fuente Álamo de Murcia,"1,034",116,133,491,11,16,45,124,38,60,294
 30022,Jumilla,"1,483",163,260,597,21,19,44,171,80,128,463
 30023,Librilla,313,34,46,135,.,.,7,35,14,35,98
 30024,Lorca,"5,810",411,962,"2,337",50,114,261,857,314,504,"2,100"
 30025,Lorquí,759,126,98,370,5,9,18,74,23,36,165
 30026,Mazarrón,"1,799",75,288,748,15,35,119,290,73,156,688
 30027,Molina de Segura,"4,962",386,538,"1,864",57,138,178,875,481,445,"2,174"
 30028,Moratalla,483,65,71,228,6,10,4,37,21,41,119
 30029,Mula,846,50,120,378,9,16,28,113,45,87,298
 30030,Murcia,"33,302","1,839","3,980","11,532",650,815,"1,605","6,529","3,215","3,137","15,951"
 30031,Ojós,15, , , , , , , , , , 
 30032,Pliego,188,6,33,93, , , , , , ,56
 30033,Puerto Lumbreras,"1,016",76,153,470,11,15,38,112,49,92,317
 30034,Ricote,37,4,6,23, , , , , , ,4
 30035,San Javier,"2,152",102,326,898,45,30,124,334,117,176,826
 30036,San Pedro del Pinatar,"1,597",100,303,590,18,30,122,214,68,152,604
 30037,Torre-Pacheco,"2,502",147,428,"1,140",26,34,143,310,91,183,787
 30038,"Torres de Cotillas, Las","1,286",120,202,536,13,22,33,158,86,116,428
 30039,Totana,"1,799",151,231,838,17,43,50,219,99,151,579
 30040,Ulea,27, , , , , , , , , , 
 30041,"Unión, La",783,62,131,317,5,22,19,96,51,80,273
 30042,Villanueva del Río Segura,132,9,16,60, , , , , , ,47
 30043,Yecla,"2,682",699,238,914,31,43,103,323,134,197,831
 30901,Santomera,"1,078",128,124,459,15,30,38,134,54,96,367
 30902,"Alcázares, Los",880,37,143,369,10,12,82,101,39,87,331
 31 Na,arra,"44,224","3,829","6,213","16,140",680,774,"1,498","7,869","3,089","4,132","18,042"
 31001,Abáigar,4, , , , , , , , , , 
 31002,Abárzuza/Abartzuza,42, , , , , , , , , , 
 31003,Abaurregaina/Abaurrea Alta,7, , , , , , , , , , 
 31004,Abaurrepea/Abaurrea Baja,., , , , , , , , , , 
 31005,Aberin,24, , , , , , , , , , 
 31006,Ablitas,110,9,32,40, , , , , , ,29
 31007,Adiós,6, , , , , , , , , , 
 31008,Aguilar de Codés,4, , , , , , , , , , 
 31009,Aibar/Oibar,39, , , , , , , , , , 
 31010,Altsasu/Alsasua,499,61,54,210,4,6,20,65,35,44,174
 31011,Allín/Allin,41, , , , , , , , , , 
 31012,Allo,54, , , , , , , , , , 
 31013,Améscoa Baja,35, , , , , , , , , , 
 31014,Ancín/Antzin,24, , , , , , , , , , 
 31015,Andosilla,181,35,21,73, , , , , , ,52
 31016,Ansoáin/Antsoain,589,44,86,219,11,10,21,105,40,53,240
 31017,Anue,31, , , , , , , , , , 
 31018,Añorbe,42, , , , , , , , , , 
 31019,Aoiz/Agoitz,161,10,30,72, , , , , , ,49
 31020,Araitz,44, , , , , , , , , , 
 31021,Aranarache/Aranaratxe,8, , , , , , , , , , 
 31022,Arantza,51, , , , , , , , , , 
 31023,Aranguren,"1,319",160,187,371,51,26,52,292,97,83,601
 31024,Arano,8, , , , , , , , , , 
 31025,Arakil,50, , , , , , , , , , 
 31026,Aras,7, , , , , , , , , , 
 31027,Arbizu,84,14,12,36, , , , , , ,22
 31028,Arce/Artzi,19, , , , , , , , , , 
 31029,"Arcos, Los",99,14,16,46, , , , , , ,23
 31030,Arellano,7, , , , , , , , , , 
 31031,Areso,24, , , , , , , , , , 
 31032,Arguedas,150,22,30,54, , , , , , ,44
 31033,Aria,., , , , , , , , , , 
 31034,Aribe,7, , , , , , , , , , 
 31035,Armañanzas,., , , , , , , , , , 
 31036,Arróniz,48,8,5,23, , , , , , ,12
 31037,Arruazu,7, , , , , , , , , , 
 31038,Artajona,111,10,27,41, , , , , , ,33
 31039,Artazu,4, , , , , , , , , , 
 31040,Atez/Atetz,18, , , , , , , , , , 
 31041,Ayegui/Aiegi,140,11,30,49, , , , , , ,50
 31042,Azagra,192,31,25,87, , , , , , ,49
 31043,Azuelo,., , , , , , , , , , 
 31044,Bakaiku,16, , , , , , , , , , 
 31045,Barásoain,41, , , , , , , , , , 
 31046,Barbarin,6, , , , , , , , , , 
 31047,Bargota,18, , , , , , , , , , 
 31048,Barillas,9, , , , , , , , , , 
 31049,Basaburua,61, , , , , , , , , , 
 31050,Baztan,640,52,118,307,7,12,14,56,25,49,163
 31051,Beire,26, , , , , , , , , , 
 31052,Belascoáin,9, , , , , , , , , , 
 31053,Berbinzana,23, , , , , , , , , , 
 31054,Bertizarana,40, , , , , , , , , , 
 31055,Betelu,32, , , , , , , , , , 
 31056,Biurrun-Olcoz,19, , , , , , , , , , 
 31057,Buñuel,136,16,24,61, , , , , , ,35
 31058,Auritz/Burguete,26, , , , , , , , , , 
 31059,Burgui/Burgi,21, , , , , , , , , , 
 31060,Burlada/Burlata,"1,007",31,179,373,18,16,31,180,78,101,424
 31061,"Busto, El",4, , , , , , , , , , 
 31062,Cabanillas,84,8,15,31, , , , , , ,30
 31063,Cabredo,4, , , , , , , , , , 
 31064,Cadreita,91,5,22,47, , , , , , ,17
 31065,Caparroso,141,16,18,68, , , , , , ,39
 31066,Cárcar,77,16,8,35, , , , , , ,18
 31067,Carcastillo,116,15,13,56, , , , , , ,32
 31068,Cascante,239,31,48,89, , , , , , ,71
 31069,Cáseda,37, , , , , , , , , , 
 31070,Castejón,188,26,22,86, , , , , , ,54
 31071,Castillonuevo,., , , , , , , , , , 
 31072,Cintruénigo,460,69,77,171,.,.,21,47,17,45,143
 31073,Ziordia,17, , , , , , , , , , 
 31074,Cirauqui/Zirauki,26, , , , , , , , , , 
 31075,Ciriza/Ziritza,9, , , , , , , , , , 
 31076,Cizur,307,22,28,80, , , , , , ,177
 31077,Corella,484,63,96,168,4,7,23,48,22,53,157
 31078,Cortes,167,12,26,70, , , , , , ,59
 31079,Desojo,., , , , , , , , , , 
 31080,Dicastillo,27, , , , , , , , , , 
 31081,Donamaria,35, , , , , , , , , , 
 31082,Etxalar,73, , , , , , , , , , 
 31083,Echarri/Etxarri	,5, , , , , , , , , , 
 31084,Etxarri Aranatz,167,20,23,74, , , , , , ,50
 31085,Etxauri,28, , , , , , , , , , 
 31086,Valle de Egüés/Eguesibar,"1,014",55,97,297,23,23,44,280,110,85,565
 31087,Elgorriaga,12, , , , , , , , , , 
 31088,Noáin (Valle de Elorz)/Noain (Elortzibar),797,99,122,305,19,9,32,119,38,54,271
 31089,Enériz/Eneritz,27, , , , , , , , , , 
 31090,Eratsun,14, , , , , , , , , , 
 31091,Ergoiena,25, , , , , , , , , , 
 31092,Erro,67, , , , , , , , , , 
 31093,Ezcároz/Ezkaroze,27, , , , , , , , , , 
 31094,Eslava,9, , , , , , , , , , 
 31095,Esparza de Salazar/Espartza Zaraitzu,7, , , , , , , , , , 
 31096,Espronceda,7, , , , , , , , , , 
 31097,Estella-Lizarra,"1,059",56,129,427,15,12,40,193,87,100,447
 31098,Esteribar,153,7,22,65, , , , , , ,59
 31099,Etayo,5, , , , , , , , , , 
 31100,Eulate,23, , , , , , , , , , 
 31101,Ezcabarte,216,34,44,86, , , , , , ,52
 31102,Ezkurra,9, , , , , , , , , , 
 31103,Ezprogui,7, , , , , , , , , , 
 31104,Falces,131,19,20,67, , , , , , ,25
 31105,Fitero,122,17,20,50, , , , , , ,35
 31106,Fontellas,87, , , , , , , , , , 
 31107,Funes,135,16,16,51, , , , , , ,52
 31108,Fustiñana,140,29,20,48, , , , , , ,43
 31109,Galar,465,85,65,176, , , , , , ,139
 31110,Gallipienzo/Galipentzu,5, , , , , , , , , , 
 31111,Gallués/Galoze,12, , , , , , , , , , 
 31112,Garaioa,6, , , , , , , , , , 
 31113,Garde,10, , , , , , , , , , 
 31114,Garínoain,27, , , , , , , , , , 
 31115,Garralda,22, , , , , , , , , , 
 31116,Genevilla,., , , , , , , , , , 
 31117,Goizueta,49, , , , , , , , , , 
 31118,Goñi,., , , , , , , , , , 
 31119,Güesa/Gorza,., , , , , , , , , , 
 31120,Guesálaz/Gesalatz,29, , , , , , , , , , 
 31121,Guirguillano,4, , , , , , , , , , 
 31122,Huarte/Uharte,519,66,48,180,14,4,12,96,45,54,225
 31123,Uharte Arakil,38, , , , , , , , , , 
 31124,Ibargoiti,19, , , , , , , , , , 
 31125,Igúzquiza,22, , , , , , , , , , 
 31126,Imotz,28, , , , , , , , , , 
 31127,Irañeta,12, , , , , , , , , , 
 31128,Isaba/Izaba,49, , , , , , , , , , 
 31129,Ituren,25, , , , , , , , , , 
 31130,Iturmendi,25, , , , , , , , , , 
 31131,Iza/Itza,108,16,13,27, , , , , , ,52
 31132,Izagaondoa,7, , , , , , , , , , 
 31133,Izalzu/Itzaltzu,5, , , , , , , , , , 
 31134,Jaurrieta,25, , , , , , , , , , 
 31135,Javier,6, , , , , , , , , , 
 31136,Juslapeña,46, , , , , , , , , , 
 31137,Beintza-Labaien,12, , , , , , , , , , 
 31138,Lakuntza,73,18,9,27, , , , , , ,19
 31139,Lana,16, , , , , , , , , , 
 31140,Lantz,15, , , , , , , , , , 
 31141,Lapoblación,15, , , , , , , , , , 
 31142,Larraga,104,7,16,52, , , , , , ,29
 31143,Larraona,6, , , , , , , , , , 
 31144,Larraun,59, , , , , , , , , , 
 31145,Lazagurría,15, , , , , , , , , , 
 31146,Leache/Leatxe,., , , , , , , , , , 
 31147,Legarda,5, , , , , , , , , , 
 31148,Legaria,5, , , , , , , , , , 
 31149,Leitza,185,16,27,90, , , , , , ,52
 31150,Leoz/Leotz,21, , , , , , , , , , 
 31151,Lerga,., , , , , , , , , , 
 31152,Lerín,91,17,12,41, , , , , , ,21
 31153,Lesaka,256,25,36,135, , , , , , ,60
 31154,Lezaun,16, , , , , , , , , , 
 31155,Liédena,21, , , , , , , , , , 
 31156,Lizoáin-Arriasgoiti,18, , , , , , , , , , 
 31157,Lodosa,271,35,34,131, , , , , , ,71
 31158,Lónguida/Longida,15, , , , , , , , , , 
 31159,Lumbier,83,6,11,35, , , , , , ,31
 31160,Luquin,8, , , , , , , , , , 
 31161,Mañeru,21, , , , , , , , , , 
 31162,Marañón,., , , , , , , , , , 
 31163,Marcilla,178,23,30,62, , , , , , ,63
 31164,Mélida,28, , , , , , , , , , 
 31165,Mendavia,229,30,38,95, , , , , , ,66
 31166,Mendaza,19, , , , , , , , , , 
 31167,Mendigorría,48,4,14,21, , , , , , ,9
 31168,Metauten,20, , , , , , , , , , 
 31169,Milagro,144,15,21,62, , , , , , ,46
 31170,Mirafuentes,., , , , , , , , , , 
 31171,Miranda de Arga,41, , , , , , , , , , 
 31172,Monreal/Elo,31, , , , , , , , , , 
 31173,Monteagudo,49,9,7,16, , , , , , ,17
 31174,Morentin,8, , , , , , , , , , 
 31175,Mues,6, , , , , , , , , , 
 31176,Murchante,259,35,56,96, , , , , , ,72
 31177,Murieta,25, , , , , , , , , , 
 31178,Murillo el Cuende,28, , , , , , , , , , 
 31179,Murillo el Fruto,30, , , , , , , , , , 
 31180,Muruzábal,17, , , , , , , , , , 
 31181,Navascués/Nabaskoze,6, , , , , , , , , , 
 31182,Nazar,4, , , , , , , , , , 
 31183,Obanos,75, , , , , , , , , , 
 31184,Oco,., , , , , , , , , , 
 31185,Ochagavía/Otsagabia,56, , , , , , , , , , 
 31186,Odieta,35, , , , , , , , , , 
 31187,Oiz,12, , , , , , , , , , 
 31188,Olaibar,21, , , , , , , , , , 
 31189,Olazti/Olazagutía,102,15,13,52, , , , , , ,22
 31190,Olejua,., , , , , , , , , , 
 31191,Olite/Erriberri,296,33,47,121, , , , , , ,95
 31192,Olóriz/Oloritz,17, , , , , , , , , , 
 31193,Cendea de Olza/Oltza Zendea,156,21,26,57, , , , , , ,52
 31194,Valle de Ollo/Ollaran,20, , , , , , , , , , 
 31195,Orbaizeta,19, , , , , , , , , , 
 31196,Orbara,., , , , , , , , , , 
 31197,Orísoain,6, , , , , , , , , , 
 31198,Oronz/Orontze,., , , , , , , , , , 
 31199,Oroz-Betelu/Orotz-Betelu,8, , , , , , , , , , 
 31200,Oteiza,48, , , , , , , , , , 
 31201,Pamplona/Iruña,"14,325",622,"1,673","4,482",296,309,689,"3,476","1,282","1,496","7,548"
 31202,Peralta/Azkoien,434,94,36,144,.,.,13,65,29,46,160
 31203,Petilla de Aragón,., , , , , , , , , , 
 31204,Piedramillera,., , , , , , , , , , 
 31205,Pitillas,25, , , , , , , , , , 
 31206,Puente la Reina/Gares,219,23,40,87, , , , , , ,69
 31207,Pueyo,11, , , , , , , , , , 
 31208,Ribaforada,180,23,32,80, , , , , , ,45
 31209,Romanzado,19, , , , , , , , , , 
 31210,Roncal/Erronkari,18, , , , , , , , , , 
 31211,Orreaga/Roncesvalles,5, , , , , , , , , , 
 31212,Sada,13, , , , , , , , , , 
 31213,Saldías,12, , , , , , , , , , 
 31214,Salinas de Oro/Jaitz,9, , , , , , , , , , 
 31215,San Adrián,434,61,65,195,.,14,.,38,17,33,113
 31216,Sangüesa/Zangoza,272,30,36,107, , , , , , ,99
 31217,San Martín de Unx,27, , , , , , , , , , 
 31219,Sansol,7, , , , , , , , , , 
 31220,Santacara,39, , , , , , , , , , 
 31221,Doneztebe/Santesteban,202,8,23,113, , , , , , ,58
 31222,Sarriés/Sartze,., , , , , , , , , , 
 31223,Sartaguda,92,12,13,41, , , , , , ,26
 31224,Sesma,61,10,7,26, , , , , , ,18
 31225,Sorlada,., , , , , , , , , , 
 31226,Sunbilla,53, , , , , , , , , , 
 31227,Tafalla,766,78,132,273,12,12,21,137,40,61,283
 31228,Tiebas-Muruarte de Reta,47, , , , , , , , , , 
 31229,Tirapu,., , , , , , , , , , 
 31230,Torralba del Río,., , , , , , , , , , 
 31231,Torres del Río,7, , , , , , , , , , 
 31232,Tudela,"2,614",195,309,998,41,53,93,486,189,250,"1,112"
 31233,Tulebras,4, , , , , , , , , , 
 31234,Ucar,9, , , , , , , , , , 
 31235,Ujué/Uxue,19, , , , , , , , , , 
 31236,Ultzama,131,19,16,60, , , , , , ,36
 31237,Unciti,14, , , , , , , , , , 
 31238,Unzué/Untzue,7, , , , , , , , , , 
 31239,Urdazubi/Urdax,64, , , , , , , , , , 
 31240,Urdiain,38, , , , , , , , , , 
 31241,Urraul Alto,9, , , , , , , , , , 
 31242,Urraul Bajo,16, , , , , , , , , , 
 31243,Urroz-Villa,31, , , , , , , , , , 
 31244,Urroz,8, , , , , , , , , , 
 31245,Urzainqui/Urzainki,10, , , , , , , , , , 
 31246,Uterga,15, , , , , , , , , , 
 31247,Uztárroz/Uztarroze,7, , , , , , , , , , 
 31248,Luzaide/Valcarlos,43, , , , , , , , , , 
 31249,Valtierra,127,15,18,53, , , , , , ,41
 31250,Bera,368,48,50,158, , , , , , ,112
 31251,Viana,299,55,47,115, , , , , , ,82
 31252,Vidángoz/Bidankoze,6, , , , , , , , , , 
 31253,Bidaurreta,7, , , , , , , , , , 
 31254,Villafranca,161,18,23,61, , , , , , ,59
 31255,Villamayor de Monjardín,15, , , , , , , , , , 
 31256,Hiriberri/Villanueva de Aezkoa,6, , , , , , , , , , 
 31257,Villatuerta,121,39,21,37, , , , , , ,24
 31258,Villava/Atarrabia,485,28,93,189,10,10,14,60,33,48,175
 31259,Igantzi,44, , , , , , , , , , 
 31260,Valle de Yerri/Deierri,107,13,22,45, , , , , , ,27
 31261,Yesa,13, , , , , , , , , , 
 31262,Zabalza/Zabaltza,11, , , , , , , , , , 
 31263,Zubieta,16, , , , , , , , , , 
 31264,Zugarramurdi,35, , , , , , , , , , 
 31265,Zúñiga,6, , , , , , , , , , 
 31901,Barañáin/Barañain,799,41,123,272,11,12,20,162,63,95,363
 31902,Berrioplano/Berriobeiti,628,84,102,234,7,10,24,96,28,43,208
 31903,Berriozar,545,31,114,209,8,7,15,80,22,59,191
 31904,Irurtzun,114,15,18,55, , , , , , ,26
 31905,Beriáin,298,57,58,105, , , , , , ,78
 31906,Orkoien,437,97,67,138, , , , , , ,135
 31907,Zizur Mayor/Zizur Nagusia,811,39,94,243,11,19,29,200,89,87,435
 31908,Lekunberri,173,27,23,68, , , , , , ,55
 32 Ou,ense,"23,166","1,805","3,972","9,085",201,582,780,"3,066","1,644","2,031","8,304"
 32001,Allariz,522,46,97,184,9,10,12,72,38,54,195
 32002,Amoeiro,152,11,34,50, , , , , , ,57
 32003,"Arnoia, A",50, , , , , , , , , , 
 32004,Avión,59,.,16,27, , , , , , ,.
 32005,Baltar,46, , , , , , , , , , 
 32006,Bande,88,.,27,36, , , , , , ,.
 32007,Baños de Molgas,64,7,12,34, , , , , , ,11
 32008,Barbadás,725,42,149,293,7,15,14,86,43,76,241
 32009,"Barco de Valdeorras, O","1,027",75,173,415,7,28,28,133,87,81,364
 32010,Beade,24, , , , , , , , , , 
 32011,Beariz,24, , , , , , , , , , 
 32012,"Blancos, Os",41, , , , , , , , , , 
 32013,Boborás,70,6,22,28, , , , , , ,14
 32014,"Bola, A",41,8,9,17, , , , , , ,7
 32015,"Bolo, O",42, , , , , , , , , , 
 32016,Calvos de Randín,25, , , , , , , , , , 
 32017,Carballeda de Valdeorras,88,38,6,30, , , , , , ,14
 32018,Carballeda de Avia,78,12,27,28, , , , , , ,11
 32019,"Carballiño, O","1,400",94,265,569,9,46,40,173,84,120,472
 32020,Cartelle,127,18,28,59, , , , , , ,22
 32021,Castrelo do Val,31,.,.,15, , , , , , ,8
 32022,Castrelo de Miño,73,19,8,31, , , , , , ,15
 32023,Castro Caldelas,92,8,19,46, , , , , , ,19
 32024,Celanova,466,25,106,195,.,.,10,52,31,39,140
 32025,Cenlle,68,11,10,27, , , , , , ,20
 32026,Coles,232,27,42,91, , , , , , ,72
 32027,Cortegada,76,9,26,30, , , , , , ,11
 32028,Cualedro,52,.,19,22, , , , , , ,.
 32029,Chandrexa de Queixa,7, , , , , , , , , , 
 32030,Entrimo,78,5,27,34, , , , , , ,12
 32031,Esgos,53,5,12,23, , , , , , ,13
 32032,Xinzo de Limia,952,64,187,394,.,26,.,101,64,91,307
 32033,Gomesende,39, , , , , , , , , , 
 32034,"Gudiña, A",100,8,11,52, , , , , , ,29
 32035,"Irixo, O",61,8,17,22, , , , , , ,14
 32036,Xunqueira de Ambía,79,7,30,25, , , , , , ,17
 32037,Xunqueira de Espadanedo,38, , , , , , , , , , 
 32038,Larouco,23, , , , , , , , , , 
 32039,Laza,61,7,10,29, , , , , , ,15
 32040,Leiro,105,24,17,42, , , , , , ,22
 32041,Lobeira,26, , , , , , , , , , 
 32042,Lobios,84,5,16,39, , , , , , ,24
 32043,Maceda,195,9,39,98, , , , , , ,49
 32044,Manzaneda,46, , , , , , , , , , 
 32045,Maside,196,24,49,91, , , , , , ,32
 32046,Melón,55,12,12,23, , , , , , ,8
 32047,"Merca, A",124,15,33,53, , , , , , ,23
 32048,"Mezquita, A",64,4,15,30, , , , , , ,15
 32049,Montederramo,26, , , , , , , , , , 
 32050,Monterrei,84,20,17,28, , , , , , ,19
 32051,Muíños,50,.,15,23, , , , , , ,.
 32052,Nogueira de Ramuín,101,6,20,38, , , , , , ,37
 32053,Oímbra,72,17,15,30, , , , , , ,10
 32054,Ourense,"9,267",412,"1,284","3,216",109,283,451,"1,662",927,923,"4,355"
 32055,Paderne de Allariz,59,7,15,21, , , , , , ,16
 32056,Padrenda,89,6,24,47, , , , , , ,12
 32057,Parada de Sil,22, , , , , , , , , , 
 32058,"Pereiro de Aguiar, O",467,47,88,187,4,9,12,53,33,34,145
 32059,"Peroxa, A",78,18,13,29, , , , , , ,18
 32060,Petín,51, , , , , , , , , , 
 32061,Piñor,75,14,18,27, , , , , , ,16
 32062,Porqueira,20, , , , , , , , , , 
 32063,"Pobra de Trives, A",149,8,27,74, , , , , , ,40
 32064,Pontedeva,36, , , , , , , , , , 
 32065,Punxín,30, , , , , , , , , , 
 32066,Quintela de Leirado,20, , , , , , , , , , 
 32067,Rairiz de Veiga,50,7,15,21, , , , , , ,7
 32068,Ramirás,81,8,22,38, , , , , , ,13
 32069,Ribadavia,427,54,52,184,.,8,.,62,17,41,137
 32070,San Xoán de Río,19, , , , , , , , , , 
 32071,Riós,72,5,12,43, , , , , , ,12
 32072,"Rúa, A",371,30,75,154, , , , , , ,112
 32073,Rubiá,61,16,10,26, , , , , , ,9
 32074,San Amaro,47,7,9,17, , , , , , ,14
 32075,San Cibrao das Viñas,781,126,101,344,24,9,20,96,23,38,210
 32076,San Cristovo de Cea,161,21,29,74, , , , , , ,37
 32077,Sandiás,57,10,8,28, , , , , , ,11
 32078,Sarreaus,35,.,.,14, , , , , , ,13
 32079,Taboadela,101,15,25,42, , , , , , ,19
 32080,"Teixeira, A",21, , , , , , , , , , 
 32081,Toén,115,15,29,45, , , , , , ,26
 32082,Trasmiras,59,8,15,27, , , , , , ,9
 32083,"Veiga, A",58, , , , , , , , , , 
 32084,Verea,34, , , , , , , , , , 
 32085,Verín,"1,157",79,165,546,5,32,24,145,59,102,367
 32086,Viana do Bolo,175,12,40,82, , , , , , ,41
 32087,Vilamarín,119,16,18,55, , , , , , ,30
 32088,Vilamartín de Valdeorras,112,21,18,38, , , , , , ,35
 32089,Vilar de Barrio,54,6,12,28, , , , , , ,8
 32090,Vilar de Santos,65, , , , , , , , , , 
 32091,Vilardevós,56,5,16,24, , , , , , ,11
 32092,Vilariño de Conso,13, , , , , , , , , , 
 33 As,urias,"68,661","3,561","8,430","26,756","1,005","1,568","3,337","11,243","5,743","7,018","29,914"
 33001,Allande,104,7,25,52, , , , , , ,20
 33002,Aller,463,25,71,225,7,8,16,41,22,48,142
 33003,Amieva,34, , , , , , , , , , 
 33004,Avilés,"4,163",188,414,"1,692",63,107,223,646,367,463,"1,869"
 33005,Belmonte de Miranda,78,10,11,43, , , , , , ,14
 33006,Bimenes,118,11,29,47, , , , , , ,31
 33007,Boal,109,7,12,70, , , , , , ,20
 33008,Cabrales,201,31,29,111, , , , , , ,30
 33009,Cabranes,71,6,11,28, , , , , , ,26
 33010,Candamo,112,9,27,43, , , , , , ,33
 33011,Cangas del Narcea,798,58,148,361,.,.,24,76,42,70,231
 33012,Cangas de Onís,696,41,109,345,.,.,35,78,27,50,201
 33013,Caravia,39, , , , , , , , , , 
 33014,Carreño,740,87,93,316,6,12,22,93,53,58,244
 33015,Caso,55,5,10,29, , , , , , ,11
 33016,Castrillón,"1,312",59,144,551,16,27,56,215,111,133,558
 33017,Castropol,240,22,41,111, , , , , , ,66
 33018,Coaña,206,27,39,89, , , , , , ,51
 33019,Colunga,249,10,38,123, , , , , , ,78
 33020,Corvera de Asturias,658,49,90,298,4,8,11,72,38,88,221
 33021,Cudillero,358,19,56,198,.,.,10,36,13,24,85
 33022,Degaña,33, , , , , , , , , , 
 33023,"Franco, El",259,15,54,105, , , , , , ,85
 33024,Gijón,"18,035",841,"1,843","6,523",354,398,"1,116","3,306","1,701","1,953","8,828"
 33025,Gozón,631,38,77,293,7,20,21,74,47,54,223
 33026,Grado,680,36,133,308,.,.,19,63,41,64,203
 33027,Grandas de Salime,56, , , , , , , , , , 
 33028,Ibias,47,.,11,26, , , , , , ,.
 33029,Illano,13, , , , , , , , , , 
 33030,Illas,55,.,.,32, , , , , , ,15
 33031,Langreo,"2,024",122,243,861,14,57,91,251,149,236,798
 33032,Laviana,720,33,124,315,5,16,23,82,47,75,248
 33033,Lena,617,23,122,284,.,.,14,60,32,68,188
 33034,Valdés,859,64,150,414,5,16,10,83,55,62,231
 33035,Llanera,"1,602",150,215,602,48,31,54,268,106,128,635
 33036,Llanes,"1,371",63,230,632,5,31,68,180,54,108,446
 33037,Mieres,"1,754",79,215,843,9,44,64,186,108,206,617
 33038,Morcín,180,18,30,65, , , , , , ,67
 33039,Muros de Nalón,102,.,.,60, , , , , , ,29
 33040,Nava,404,34,69,179,.,.,10,38,27,40,122
 33041,Navia,640,25,89,287,5,15,15,84,53,67,239
 33042,Noreña,395,32,45,161,6,8,18,44,37,44,157
 33043,Onís,73, , , , , , , , , , 
 33044,Oviedo,"16,102",513,"1,534","5,064",350,466,942,"3,644","1,862","1,727","8,991"
 33045,Parres,448,28,82,173,5,14,20,48,32,46,165
 33046,Peñamellera Alta,35, , , , , , , , , , 
 33047,Peñamellera Baja,118,6,26,59, , , , , , ,27
 33048,Pesoz,5, , , , , , , , , , 
 33049,Piloña,562,40,123,236,4,10,19,67,22,41,163
 33050,Ponga,25, , , , , , , , , , 
 33051,Pravia,527,36,93,223,.,.,19,50,36,54,175
 33052,Proaza,41, , , , , , , , , , 
 33053,Quirós,47,.,11,22, , , , , , ,.
 33054,"Regueras, Las",107,5,20,45, , , , , , ,37
