CP,Municipio,Total Comercios,B_E Industria,F Construcción,"Comercio, transporte y hostelería",J Información y comunicaciones,K Actividades financieras y de seguros,L Actividades inmobiliarias,Actividades profesionales y técnicas,"Educación, sanidad y servicios sociales",Otros servicios personales,Total servicios
 03042,"Benitachell/Poble Nou de Benitatxell, el",357,7,88,96, , , , , , ,166
 03043,Biar,304,56,37,94, , , , , , ,117
 03044,Bigastro,511,42,168,138,6,11,31,56,20,39,163
 03045,Bolulla,20, , , , , , , , , , 
 03046,Busot,195,8,37,64, , , , , , ,86
 03047,Calp,"2,061",35,360,813,11,26,213,332,112,159,853
 03048,Callosa d'en Sarrià,576,29,145,186,11,14,25,84,37,45,216
 03049,Callosa de Segura,"1,024",125,123,413,7,22,42,117,87,88,363
 03050,"Campello, el","2,223",52,285,842,50,50,150,386,217,191,"1,044"
 03051,"Campo de Mirra/Camp de Mirra, el",22, , , , , , , , , , 
 03052,Cañada,96,26,12,29, , , , , , ,29
 03053,Castalla,871,176,121,280,16,11,52,98,50,67,294
 03054,Castell de Castells,25, , , , , , , , , , 
 03055,Catral,621,78,77,245,11,11,40,82,33,44,221
 03056,Cocentaina,999,160,103,403,12,21,49,129,47,75,333
 03057,Confrides,14, , , , , , , , , , 
 03058,Cox,742,61,81,424,4,7,31,62,31,41,176
 03059,Crevillent,"2,101",388,191,965,23,38,88,177,100,131,557
 03060,Quatretondeta,9, , , , , , , , , , 
 03061,Daya Nueva,136,18,20,61, , , , , , ,37
 03062,Daya Vieja,44, , , , , , , , , , 
 03063,Dénia,"4,531",144,727,"1,404",91,94,422,922,383,344,"2,256"
 03064,Dolores,535,56,76,222,.,.,30,59,24,54,181
 03065,Elche/Elx,"17,470","1,961","2,162","6,731",257,346,"1,014","2,645","1,015","1,339","6,616"
 03066,Elda,"3,942",589,375,"1,466",42,91,249,571,260,299,"1,512"
 03067,Facheca,5, , , , , , , , , , 
 03068,Famorca,., , , , , , , , , , 
 03069,Finestrat,635,21,94,264,.,.,51,96,32,62,256
 03070,Formentera del Segura,258,20,50,99, , , , , , ,89
 03071,Gata de Gorgos,523,41,114,199,4,11,17,82,25,30,169
 03072,Gaianes,37, , , , , , , , , , 
 03073,Gorga,20, , , , , , , , , , 
 03074,Granja de Rocamora,197,18,27,106, , , , , , ,46
 03075,"Castell de Guadalest, el",43, , , , , , , , , , 
 03076,Guardamar del Segura,"1,248",35,183,477,12,19,161,184,64,113,553
 03077,"Fondó de les Neus, el/Hondón de las Nieves",126,14,26,48, , , , , , ,38
 03078,Hondón de los Frailes,59,6,7,31, , , , , , ,15
 03079,Ibi,"1,833",413,210,616,25,40,90,221,97,121,594
 03080,Jacarilla,194,24,63,56, , , , , , ,51
 03081,Xaló,274,11,57,95, , , , , , ,111
