CÓDIGO,C.P.,POBLACION,PROVINCIA,CERCANIAS,FEVE,AVE,numero_estaciones
40121,41359,alcolea_del_rio,sevilla,SI,NO,NO,1
35605,28922,alcorcon,madrid,SI,NO,NO,3
73101,43460,alcover,tarragona,NO,NO,NO,1
66211,46960,aldaia,valencia,SI,NO,NO,1
34014,37350,aldealengua,salamanca,NO,NO,NO,1
11409,20260,alegia,gipuzkoa,SI,NO,NO,1
11210,1240,alegria_dulantzi,araba,NO,NO,NO,1
64203,46910,benetusser,valencia,SI,NO,NO,1
81110,26540,alfaro,rioja_la,NO,NO,NO,1
55020,11207,algeciras,cadiz,NO,NO,NO,1
64105,46680,algemesi,valencia,SI,NO,NO,1
67216,46148,algimia_de_alfara,valencia,SI,NO,NO,1
70502,50230,alhama_de_aragon,zaragoza,NO,NO,NO,1
6002,30840,alhama_de_murcia,murcia,SI,NO,NO,1
54407,29580,cartama,malaga,SI,NO,NO,2
37600,6800,aljucen,badajoz,NO,NO,NO,1
37305,13480,almaden,ciudad_real,NO,NO,NO,1
94004,13270,almagro,ciudad_real,NO,NO,NO,1
60800,2640,almansa,albacete,NO,NO,NO,1
55003,29330,almargen,malaga,NO,NO,NO,1
65209,12550,almazora,castellon,SI,NO,NO,1
84101,42200,almazan,soria,NO,NO,NO,1
65202,12590,almenara,castellon,SI,NO,NO,1
40004,6200,almendralejo,badajoz,NO,NO,NO,1
6100,30893,lorca,murcia,SI,NO,NO,4
56312,4006,almeria,almeria,NO,NO,NO,1
42009,21342,almonaster_la_real,huelva,NO,NO,NO,1
55017,11350,castellar_de_la_frontera,cadiz,NO,NO,NO,1
37400,6614,cabeza_del_buey,badajoz,NO,NO,NO,2
50202,13760,almuradiel,ciudad_real,NO,NO,NO,1
54405,29510,alora,malaga,SI,NO,NO,3
12002,28439,alpedrete,madrid,SI,NO,NO,2
71502,43008,altafulla,tarragona,NO,NO,NO,1
5620,39300,torrelavega,cantabria,NO,SI,NO,7
11300,31800,altsasu,navarra,NO,NO,NO,2
80001,31800,altsasu,navarra,NO,NO,NO,2
35600,28047,madrid,madrid,SI,NO,NO,39
5959,30351,cartagena,murcia,NO,SI,NO,12
64104,46600,alzira,valencia,SI,NO,NO,1
13206,48012,bilbao,bizkaia,SI,SI,NO,14
13101,1470,amurrio,araba,SI,NO,NO,4
13121,1470,amurrio,araba,SI,NO,NO,4
14102,34420,amusco,palencia,NO,NO,NO,1
11505,20140,andoain,gipuzkoa,SI,NO,NO,2
11504,20140,andoain,gipuzkoa,SI,NO,NO,2
50403,23740,andujar,jaen,NO,NO,NO,1
78407,25320,anglesola,lleida,NO,NO,NO,1
11502,20270,anoeta,gipuzkoa,SI,NO,NO,1
5019,29200,antequera,malaga,NO,NO,NO,3
2003,29540,antequera,malaga,NO,NO,SI,3
74208,22830,caldearenas,huesca,NO,NO,NO,2
5119,15563,san_sadurnino,coruna_a,NO,SI,NO,3
1003,41600,arahal,sevilla,NO,NO,NO,1
11213,1208,arraia_maeztu,araba,NO,NO,NO,1
13117,48498,arakaldo,bizkaia,SI,NO,NO,1
5473,48850,zalla,bizkaia,NO,SI,NO,7
5474,48860,zalla,bizkaia,NO,SI,NO,7
60200,28300,aranjuez,madrid,SI,NO,NO,2
67007,50450,muel,zaragoza,NO,NO,NO,1
10001,28023,madrid,madrid,SI,NO,NO,39
13108,48498,arrankudiaga,bizkaia,SI,NO,NO,3
22106,36430,arbo,pontevedra,NO,NO,NO,2
78804,8010,barcelona,barcelona,SI,NO,NO,10
23002,36690,soutomaior,pontevedra,NO,NO,SI,1
61015,30627,archena,murcia,NO,NO,NO,1
70403,42250,arcos_de_jalon,soria,NO,NO,NO,1
22002,27578,sober,lugo,NO,NO,NO,2
14235,39450,arenas_de_iguna,cantabria,SI,NO,NO,2
79600,8350,arenys_de_mar,barcelona,SI,NO,NO,1
13107,1400,laudio,araba,SI,NO,NO,3
10409,5200,arevalo,avila,NO,NO,NO,1
66105,16360,arguisuelas,cuenca,NO,NO,NO,1
5740,9570,arija,burgos,NO,SI,NO,1
70500,50220,ariza,zaragoza,NO,NO,NO,1
5721,9585,valle_de_mena,burgos,NO,SI,NO,4
13109,48498,arrankudiaga,bizkaia,SI,NO,NO,3
55008,29350,arriate,malaga,NO,NO,NO,1
13111,48480,arrigorriaga,bizkaia,SI,NO,NO,2
5543,33540,parres,asturias,NO,SI,NO,6
35402,10910,caceres,caceres,NO,NO,NO,2
5469,48840,guenes,bizkaia,NO,SI,NO,7
5489,48879,artzentales,bizkaia,NO,SI,NO,2
22108,36440,neves_as,pontevedra,NO,NO,NO,1
70002,28018,madrid,madrid,SI,NO,NO,39
71211,43791,asco,tarragona,NO,NO,NO,1
5657,39610,astillero_el,cantabria,NO,SI,NO,4
20100,24700,astorga,leon,NO,NO,NO,1
70504,50200,ateca,zaragoza,NO,NO,NO,1
11513,20013,donostia,gipuzkoa,SI,NO,NO,7
13207,48010,bilbao,bizkaia,SI,NO,NO,14
5768,24849,vecilla_la,leon,NO,SI,NO,3
10400,5001,avila,avila,NO,NO,NO,1
16403,33409,aviles,asturias,SI,SI,NO,6
5221,33402,aviles,asturias,NO,SI,NO,6
