CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,C.P.,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,tiempo de antelacion,Punto de Encuentro,Aparcamiento,Andén,Aseos,Vestíbulo
74208,ANZANIGO,42.4033453,-0.6430434,22830.0,caldearenas,huesca,espana,NO,NO,,,,,,
5119,APALLA,43.550465,-8.018659,15563.0,san sadurnino,"coruna, a",espana,NO,SI,,,,,,
1003,ARAHAL,37.268141,-5.548400599999999,41600.0,arahal,sevilla,espana,NO,NO,,,,,,
11213,ARAIA,42.8694713,-2.3068017999999997,1208.0,arraia-maeztu,araba/alava,espana,NO,NO,,,,,,
13117,ARAKALDO,43.15357,-2.938221,48498.0,arakaldo,bizkaia,espana,SI,NO,,,,,,
5473,ARANGUREN,43.210494,-3.109354,48850.0,zalla,bizkaia,espana,NO,SI,,,,,,
5474,ARANGUREN-APEADERO,43.210347,-3.114075,48860.0,zalla,bizkaia,espana,NO,SI,,,,,,
60200,ARANJUEZ,40.0347255,-3.6182068999999997,28300.0,aranjuez,madrid,espana,SI,NO,,,,,,
67007,ARAÑALES DE MUEL,41.4690568,-1.0860655000000001,50450.0,muel,zaragoza,espana,NO,NO,,,,,,
10001,ARAVACA,40.448345,-3.7861910000000005,28023.0,madrid,madrid,espana,SI,NO,,,,,,
13108,ARBIDE,43.163173,-2.927623,48498.0,arrankudiaga,bizkaia,espana,SI,NO,,,,,,
22106,ARBO,42.1069927,-8.3002144,36430.0,arbo,pontevedra,espana,NO,NO,,,,,,
78804,ARC DE TRIOMF,41.392435299999995,2.1804162999999996,8010.0,barcelona,barcelona,espana,SI,NO,,,,,,
23002,ARCADE,42.340444700000006,-8.610463300000001,36690.0,soutomaior,pontevedra,espana,NO,NO,,,,,,
61015,ARCHENA-FORTUNA,38.1313637,-1.2360305,30627.0,archena,murcia,espana,NO,NO,,,,,,
70403,ARCOS DE JALON,41.2156614,-2.2776762,42250.0,arcos de jalon,soria,espana,NO,NO,,,,,,
22002,AREAS,42.45792539999999,-7.6291877999999995,27578.0,sober,lugo,espana,NO,NO,,,,,,
14235,ARENAS DE IGUÑA,43.185086,-4.050081,39450.0,arenas de iguna,cantabria,espana,SI,NO,,,,,,
79600,ARENYS DE MAR,41.5776847,2.5492036,8350.0,arenys de mar,barcelona,espana,SI,NO,,,,,,
13107,ARETA,43.145122,-2.94342,1400.0,laudio/llodio,araba/alava,espana,SI,NO,,,,,,
10409,AREVALO,41.0471235,-4.7019727,5200.0,arevalo,avila,espana,NO,NO,,,,,,
66105,ARGUISUELAS,39.838605,-1.8123037,16360.0,arguisuelas,cuenca,espana,NO,NO,,,,,,
5740,ARIJA,42.99135,-3.9446160000000003,9570.0,arija,burgos,espana,NO,SI,,,,,,
70500,ARIZA,41.309662200000005,-2.0595452,50220.0,ariza,zaragoza,espana,NO,NO,,,,,,
5721,ARLA BERRON,43.166706,-3.2275810000000003,9585.0,valle de mena,burgos,espana,NO,SI,,,,,,
13109,ARRANKUDIAGA,43.16988,-2.9182799999999998,48498.0,arrankudiaga,bizkaia,espana,SI,NO,,,,,,
55008,ARRIATE,36.791079100000005,-5.1401779,29350.0,arriate,malaga,espana,NO,NO,,,,,,
