poblacion,numero_estaciones,ave,cercanias,feve
castellbisbal,1,NO,SI,NO
huelva,1,NO,NO,NO
villarrubia_de_santiago,1,NO,NO,NO
puigcerda,1,NO,SI,NO
papiol_el,1,NO,SI,NO
ordizia,1,NO,SI,NO
campdevanol,1,NO,SI,NO
catarroja,1,NO,SI,NO
sant_adria_de_besos,1,NO,SI,NO
canfranc,1,NO,NO,NO
canet_de_mar,1,NO,SI,NO
cetina,1,NO,NO,NO
sahagun,1,NO,NO,NO
etxarri_aranatz,1,NO,NO,NO
girona,1,SI,NO,NO
san_fernando_de_henares,1,NO,SI,NO
albatera,1,NO,SI,NO
santa_susanna,1,NO,SI,NO
beniganim,1,NO,NO,NO
cunit,1,NO,SI,NO
urnieta,1,NO,SI,NO
sueca,1,NO,SI,NO
valdeolea,1,NO,NO,SI
siguenza,1,NO,NO,NO
babilafuente,1,NO,NO,NO
almuradiel,1,NO,NO,NO
camas,1,NO,SI,NO
santa_perpetua_de_mogoda,1,NO,SI,NO
orihuela,1,NO,SI,NO
villar_de_gallimazo,1,NO,NO,NO
vilagarcia_de_arousa,1,SI,NO,NO
olivares,1,NO,SI,NO
badajoz,1,NO,NO,NO
crevillent,1,NO,SI,NO
herrera_de_pisuerga,1,NO,NO,NO
aljucen,1,NO,NO,NO
alhama_de_aragon,1,NO,NO,NO
torrijos,1,NO,NO,NO
sant_vicenc_de_castellet,1,NO,SI,NO
montblanc,1,NO,NO,NO
fuente_del_arco,1,NO,NO,NO
pesquera,1,NO,SI,NO
linares,1,NO,NO,NO
arraia_maeztu,1,NO,NO,NO
sils,1,NO,NO,NO
osuna,1,NO,NO,NO
balenya,1,NO,SI,NO
san_sebastian_de_los_reyes,1,NO,SI,NO
riba_la,1,NO,NO,NO
santos_de_maimona_los,1,NO,NO,NO
gibraleon,1,NO,NO,NO
morata_de_jalon,1,NO,NO,NO
fregenal_de_la_sierra,1,NO,NO,NO
alzira,1,NO,SI,NO
carracedelo,1,NO,NO,NO
ametlla_de_mar_l_,1,NO,NO,NO
valdemoro,1,NO,SI,NO
torrelodones,1,NO,SI,NO
hostalric,1,NO,SI,NO
pomar_de_valdivia,1,NO,NO,NO
longares,1,NO,NO,NO
albacete,1,SI,NO,NO
meco,1,NO,SI,NO
utebo,1,NO,SI,NO
canaveral,1,NO,NO,NO
caudiel,1,NO,SI,NO
borges_del_camp_les,1,NO,NO,NO
villagaton,1,NO,NO,NO
carmona,1,NO,SI,NO
parets_del_valles,1,NO,SI,NO
ayerbe,1,NO,NO,NO
gudina_a,1,NO,NO,NO
culleredo,1,NO,NO,NO
valencina_de_la_concepcion,1,NO,SI,NO
arahal,1,NO,NO,NO
sant_vicenc_de_torello,1,NO,SI,NO
altafulla,1,NO,NO,NO
sant_celoni,1,NO,SI,NO
uharte_arakil,1,NO,NO,NO
vinaros,1,NO,NO,NO
guadarrama,1,NO,NO,NO
becerril_de_campos,1,NO,NO,NO
ramales_de_la_victoria,1,NO,NO,SI
salvatierra,1,NO,NO,NO
soutomaior,1,SI,NO,NO
alfaro,1,NO,NO,NO
tarrega,1,NO,NO,NO
carbajales_de_alba,1,NO,NO,NO
cornella_de_llobregat,1,NO,SI,NO
navalmoral_de_la_mata,1,NO,NO,NO
ikaztegieta,1,NO,SI,NO
aldealengua,1,NO,NO,NO
paredes_de_nava,1,NO,NO,NO
oropesa,1,NO,NO,NO
meliana,1,NO,SI,NO
sant_pol_de_mar,1,NO,SI,NO
vallada,1,NO,SI,NO
cabanas,1,NO,NO,NO
pozaldez,1,NO,NO,NO
castuera,1,NO,NO,NO
tardienta,1,SI,NO,NO
villafranca,1,NO,NO,NO
begonte,1,NO,NO,NO
benalua,1,NO,NO,NO
bell_lloc_d_urgell,1,NO,NO,NO
san_bartolome_de_la_torre,1,NO,NO,NO
ontinyent,1,NO,NO,NO
cebanico,1,NO,NO,SI
pobla_de_massaluca_la,1,NO,NO,NO
fabara,1,NO,NO,NO
ormaiztegi,1,NO,SI,NO
pobra_do_brollon_a,1,NO,NO,NO
sabinan,1,NO,NO,NO
pineda_de_mar,1,NO,SI,NO
agullent,1,NO,NO,NO
ariza,1,NO,NO,NO
pontedeume,1,NO,NO,NO
casas_de_millan,1,NO,NO,NO
itsasondo,1,NO,SI,NO
benaojan,1,NO,NO,NO
soneja,1,NO,SI,NO
quintana_del_puente,1,NO,NO,NO
camporrobles,1,NO,NO,NO
ripoll,1,NO,SI,NO
villanueva_de_gallego,1,NO,NO,NO
san_justo_de_la_vega,1,NO,NO,NO
llosa_la,1,NO,SI,NO
baides,1,NO,NO,NO
trucios_turtzioz,1,NO,NO,SI
montaverner,1,NO,NO,NO
zarzalejo,1,NO,NO,NO
pina_de_campos,1,NO,NO,NO
albaida,1,NO,NO,NO
calasparra,1,NO,NO,NO
hellin,1,NO,NO,NO
collado_mediano,1,NO,SI,NO
monzon,1,NO,NO,NO
aguilar_de_segarra,1,NO,NO,NO
catoira,1,NO,NO,NO
matapozuelos,1,NO,NO,NO
fuentes_de_onoro,1,NO,NO,NO
caldes_d_estrac,1,NO,SI,NO
condado_de_trevino,1,NO,NO,NO
cardenosa,1,NO,NO,NO
granen,1,NO,NO,NO
palma_del_rio,1,NO,NO,NO
cortegana,1,NO,NO,NO
flaca,1,NO,NO,NO
ateca,1,NO,NO,NO
tafalla,1,NO,NO,NO
chilches,1,NO,SI,NO
porrino_o,1,NO,NO,NO
manlleu,1,NO,SI,NO
san_morales,1,NO,NO,NO
villadoz,1,NO,NO,NO
badules,1,NO,NO,NO
vilamartin_de_valdeorras,1,NO,NO,NO
irixo_o,1,NO,NO,NO
muel,1,NO,NO,NO
riba_roja_d_ebre,1,NO,NO,NO
grajal_de_campos,1,NO,NO,NO
pizarra,1,NO,SI,NO
bordils,1,NO,NO,NO
santa_margarida_i_els_monjos,1,NO,SI,NO
villabona,1,NO,SI,NO
loja,1,NO,NO,NO
santa_eulalia,1,NO,NO,NO
cambrils,1,NO,NO,NO
ciempozuelos,1,NO,SI,NO
algimia_de_alfara,1,NO,SI,NO
toro,1,NO,NO,NO
llanca,1,NO,NO,NO
dehesa_de_montejo,1,NO,NO,SI
algemesi,1,NO,SI,NO
jodar,1,NO,NO,NO
monforte_de_lemos,1,NO,NO,NO
tavernes_de_la_valldigna,1,NO,SI,NO
haro,1,NO,NO,NO
burgos,1,NO,NO,NO
portbou,1,NO,NO,NO
entrambasaguas,1,NO,NO,SI
pedroso_el,1,NO,SI,NO
cazalla_de_la_sierra,1,NO,SI,NO
astorga,1,NO,NO,NO
camarles,1,NO,NO,NO
gomecello,1,NO,NO,NO
rabade,1,NO,NO,NO
puertollano,1,SI,NO,NO
blanes,1,NO,SI,NO
ronda,1,NO,NO,NO
golmes,1,NO,NO,NO
genoves,1,NO,NO,NO
viladecans,1,NO,SI,NO
ferreruela,1,NO,NO,NO
vila_real,1,NO,SI,NO
malgrat_de_mar,1,NO,SI,NO
pasaia,1,NO,SI,NO
terrer,1,NO,NO,NO
guadix,1,NO,NO,NO
escacena_del_campo,1,NO,NO,NO
calamonte,1,NO,NO,NO
sant_miquel_de_fluvia,1,NO,NO,NO
sant_joan_despi,1,NO,SI,NO
manzanares,1,NO,NO,NO
pontecesures,1,NO,NO,NO
sabinanigo,1,NO,NO,NO
ponferrada,1,NO,NO,NO
narros_del_castillo,1,NO,NO,NO
seva,1,NO,SI,NO
erustes,1,NO,NO,NO
torreblanca,1,NO,NO,NO
castellon_de_la_plana,1,NO,SI,NO
granada_la,1,NO,SI,NO
burela,1,NO,NO,SI
guiamets_els,1,NO,NO,NO
bufali,1,NO,NO,NO
librilla,1,NO,SI,NO
neda,1,NO,NO,NO
salomo,1,NO,NO,NO
castejon,1,NO,NO,NO
alonsotegi,1,NO,NO,SI
penaranda_de_bracamonte,1,NO,NO,NO
muskiz,1,NO,SI,NO
marchena,1,NO,NO,NO
villafranca_de_los_barros,1,NO,NO,NO
ayala,1,NO,SI,NO
valdepenas,1,NO,NO,NO
alcoy,1,NO,NO,NO
beniel,1,NO,SI,NO
gava,1,NO,SI,NO
riudellots_de_la_selva,1,NO,NO,NO
villacanas,1,NO,NO,NO
villafranca_del_campo,1,NO,NO,NO
moncofa,1,NO,SI,NO
ricla,1,NO,NO,NO
arenys_de_mar,1,NO,SI,NO
sant_andreu_de_llavaneres,1,NO,SI,NO
puebla_de_sanabria,1,NO,NO,NO
castrejon_de_la_pena,1,NO,NO,SI
rua_a,1,NO,NO,NO
sarinena,1,NO,NO,NO
capcanes,1,NO,NO,NO
maria_de_huerva,1,NO,NO,NO
duenas,1,NO,NO,NO
arriate,1,NO,NO,NO
santovenia_de_la_valdoncina,1,NO,NO,NO
sotonera_la,1,NO,NO,NO
vandellos_i_l_hospitalet_de_l_infant,1,NO,NO,NO
congosto,1,NO,NO,NO
niebla,1,NO,NO,NO
logrono,1,NO,NO,NO
talavera_de_la_reina,1,NO,NO,NO
tapia_de_casariego,1,NO,NO,SI
montmelo,1,NO,SI,NO
centelles,1,NO,SI,NO
ulldecona,1,NO,NO,NO
avila,1,NO,NO,NO
iznalloz,1,NO,NO,NO
ciudad_rodrigo,1,NO,NO,NO
pedrola,1,NO,NO,NO
calella,1,NO,SI,NO
osorno_la_mayor,1,NO,NO,NO
merida,1,NO,NO,NO
alcanadre,1,NO,NO,NO
tordera,1,NO,SI,NO
anoeta,1,NO,SI,NO
ribaforada,1,NO,NO,NO
santiago_de_compostela,1,SI,NO,NO
vilabella,1,NO,NO,NO
manzanal_de_arriba,1,NO,NO,NO
iruna_oka,1,NO,NO,NO
novelda,1,NO,NO,NO
borriana,1,NO,SI,NO
villarrasa,1,NO,NO,NO
rubielos_de_mora,1,NO,NO,NO
cabezas_de_san_juan_las,1,NO,SI,NO
barrios_los,1,NO,NO,NO
arija,1,NO,NO,SI
montearagon,1,NO,NO,NO
barro,1,NO,NO,NO
puigverd_de_lleida,1,NO,NO,NO
azuqueca_de_henares,1,NO,SI,NO
quinto,1,NO,NO,NO
caldes_de_malavella,1,NO,NO,NO
premia_de_mar,1,NO,SI,NO
reus,1,NO,NO,NO
villar_y_velasco,1,NO,NO,NO
castellbell_i_el_vilar,1,NO,SI,NO
sant_sadurni_d_anoia,1,NO,SI,NO
cisneros,1,NO,NO,NO
navalperal_de_pinares,1,NO,NO,NO
cullera,1,NO,SI,NO
valdetorres,1,NO,NO,NO
tarancon,1,NO,NO,NO
bembibre,1,NO,NO,NO
don_benito,1,NO,NO,NO
benacazon,1,NO,SI,NO
santa_cruz_de_mudela,1,NO,NO,NO
argentera_l_,1,NO,NO,NO
aldaia,1,NO,SI,NO
riotuerto,1,NO,NO,SI
cubillas_de_santa_marta,1,NO,NO,NO
oropesa_del_mar,1,NO,NO,NO
romeral_el,1,NO,NO,NO
garriga_la,1,NO,SI,NO
ocana,1,NO,NO,NO
barco_de_valdeorras_o,1,NO,NO,NO
calahorra,1,NO,NO,NO
arakaldo,1,NO,SI,NO
mollerussa,1,NO,NO,NO
riudecanyes,1,NO,NO,NO
anglesola,1,NO,NO,NO
siete_aguas,1,NO,SI,NO
guarena,1,NO,NO,NO
villora,1,NO,NO,NO
ribadavia,1,NO,NO,NO
valencia_de_alcantara,1,NO,NO,NO
santa_cruz_de_la_zarza,1,NO,NO,NO
samper_de_calanda,1,NO,NO,NO
llosses_les,1,NO,SI,NO
cortes,1,NO,NO,NO
nonaspe,1,NO,NO,NO
villanueva_de_la_serena,1,NO,NO,NO
granada,1,NO,NO,NO
jaca,1,NO,NO,NO
caminreal,1,NO,NO,NO
carcaixent,1,NO,SI,NO
arguisuelas,1,NO,NO,NO
pamplona,1,NO,NO,NO
puig_de_santa_maria_el,1,NO,SI,NO
almaden,1,NO,NO,NO
maside,1,NO,NO,NO
navajas,1,NO,SI,NO
vic,1,NO,SI,NO
callosa_de_segura,1,NO,SI,NO
vilaverd,1,NO,NO,NO
barracas,1,NO,NO,NO
martorell,1,NO,SI,NO
alegria_dulantzi,1,NO,NO,NO
gualba,1,NO,SI,NO
salamanca,1,NO,NO,NO
mora_de_rubielos,1,NO,NO,NO
cenlle,1,NO,NO,NO
andujar,1,NO,NO,NO
hazas_de_cesto,1,NO,NO,SI
luceni,1,NO,NO,NO
fresno_el_viejo,1,NO,NO,NO
ordes,1,NO,NO,NO
cardedeu,1,NO,SI,NO
alcantarilla,1,NO,SI,NO
villada,1,NO,NO,NO
vitoria_gasteiz,1,NO,NO,NO
villaquiran_de_los_infantes,1,NO,NO,NO
lodosa,1,NO,NO,NO
lora_del_rio,1,NO,SI,NO
malpartida_de_plasencia,1,NO,NO,NO
pedroso_de_la_armuna_el,1,NO,NO,NO
fuentes_de_ebro,1,NO,NO,NO
tres_cantos,1,NO,SI,NO
marina_de_cudeyo,1,NO,NO,SI
villarreal_de_huerva,1,NO,NO,NO
beasain,1,NO,SI,NO
almonaster_la_real,1,NO,NO,NO
selva_del_camp_la,1,NO,NO,NO
jerica,1,NO,SI,NO
espinosa_de_villagonzalo,1,NO,NO,NO
cabra_del_santo_cristo,1,NO,NO,NO
valderrey,1,NO,NO,NO
gador,1,NO,NO,NO
cerro_de_andevalo_el,1,NO,NO,NO
manon,1,NO,NO,SI
alcala_de_xivert,1,NO,NO,NO
villanua,1,NO,NO,NO
illescas,1,NO,NO,NO
elda,1,NO,NO,NO
murcia,1,NO,SI,NO
mirabel,1,NO,NO,NO
viana_de_cega,1,NO,NO,NO
benicasim,1,NO,NO,NO
vinaixa,1,NO,NO,NO
fornells_de_la_selva,1,NO,NO,NO
almansa,1,NO,NO,NO
zaida_la,1,NO,NO,NO
massalfassar,1,NO,SI,NO
mengibar,1,NO,NO,NO
chillaron_de_cuenca,1,NO,NO,NO
robla_la,1,NO,NO,NO
palencia,1,SI,NO,NO
neves_as,1,NO,NO,NO
barbera_del_valles,1,NO,SI,NO
vilajuiga,1,NO,NO,NO
torello,1,NO,SI,NO
merindad_de_sotoscueva,1,NO,NO,SI
olite,1,NO,NO,NO
arevalo,1,NO,NO,NO
norena,1,NO,NO,SI
arteixo,1,NO,NO,NO
vilches,1,NO,NO,NO
san_vicente_de_alcantara,1,NO,NO,NO
cieza,1,NO,NO,NO
